Filename,Output,Delay
cleaned_transformed_ds1.csv,out1_0sec,2
cleaned_transformed_ds1.csv,out2_0sec,3
cleaned_transformed_ds1.csv,out1_2sec_shift,1
cleaned_transformed_ds1.csv,out1_2sec_shift_noise,1
cleaned_transformed_ds1.csv,out1_2sec_shift_filt,3
cleaned_transformed_ds1.csv,out1_2sec_shift_noise_filt,3
cleaned_transformed_ds1.csv,out1_4sec_shift,1
cleaned_transformed_ds1.csv,out1_4sec_shift_noise,1
cleaned_transformed_ds1.csv,out1_4sec_shift_filt,0
cleaned_transformed_ds1.csv,out1_4sec_shift_noise_filt,0
cleaned_transformed_ds1.csv,out1_6sec_shift,0
cleaned_transformed_ds1.csv,out1_6sec_shift_noise,0
cleaned_transformed_ds1.csv,out1_6sec_shift_filt,3
cleaned_transformed_ds1.csv,out1_6sec_shift_noise_filt,3
cleaned_transformed_ds1.csv,out1_8sec_shift,1
cleaned_transformed_ds1.csv,out1_8sec_shift_noise,1
cleaned_transformed_ds1.csv,out1_8sec_shift_filt,1
cleaned_transformed_ds1.csv,out1_8sec_shift_noise_filt,1
cleaned_transformed_ds1.csv,out1_10sec_shift,3
cleaned_transformed_ds1.csv,out1_10sec_shift_noise,3
cleaned_transformed_ds1.csv,out1_10sec_shift_filt,0
cleaned_transformed_ds1.csv,out1_10sec_shift_noise_filt,0
cleaned_transformed_ds1.csv,out2_2sec_shift,0
cleaned_transformed_ds1.csv,out2_2sec_shift_noise,0
cleaned_transformed_ds1.csv,out2_2sec_shift_filt,3
cleaned_transformed_ds1.csv,out2_2sec_shift_noise_filt,3
cleaned_transformed_ds1.csv,out2_4sec_shift,1
cleaned_transformed_ds1.csv,out2_4sec_shift_noise,1
cleaned_transformed_ds1.csv,out2_4sec_shift_filt,0
cleaned_transformed_ds1.csv,out2_4sec_shift_noise_filt,3
cleaned_transformed_ds1.csv,out2_6sec_shift,1
cleaned_transformed_ds1.csv,out2_6sec_shift_noise,0
cleaned_transformed_ds1.csv,out2_6sec_shift_filt,3
cleaned_transformed_ds1.csv,out2_6sec_shift_noise_filt,3
cleaned_transformed_ds1.csv,out2_8sec_shift,2
cleaned_transformed_ds1.csv,out2_8sec_shift_noise,0
cleaned_transformed_ds1.csv,out2_8sec_shift_filt,0
cleaned_transformed_ds1.csv,out2_8sec_shift_noise_filt,0
cleaned_transformed_ds1.csv,out2_10sec_shift,3
cleaned_transformed_ds1.csv,out2_10sec_shift_noise,1
cleaned_transformed_ds1.csv,out2_10sec_shift_filt,2
cleaned_transformed_ds1.csv,out2_10sec_shift_noise_filt,2
cleaned_transformed_ds2.csv,out1_0sec,1
cleaned_transformed_ds2.csv,out2_0sec,3
cleaned_transformed_ds2.csv,out1_2sec_shift,0
cleaned_transformed_ds2.csv,out1_2sec_shift_noise,0
cleaned_transformed_ds2.csv,out1_2sec_shift_filt,3
cleaned_transformed_ds2.csv,out1_2sec_shift_noise_filt,3
cleaned_transformed_ds2.csv,out1_4sec_shift,0
cleaned_transformed_ds2.csv,out1_4sec_shift_noise,0
cleaned_transformed_ds2.csv,out1_4sec_shift_filt,0
cleaned_transformed_ds2.csv,out1_4sec_shift_noise_filt,0
cleaned_transformed_ds2.csv,out1_6sec_shift,0
cleaned_transformed_ds2.csv,out1_6sec_shift_noise,0
cleaned_transformed_ds2.csv,out1_6sec_shift_filt,0
cleaned_transformed_ds2.csv,out1_6sec_shift_noise_filt,0
cleaned_transformed_ds2.csv,out1_8sec_shift,1
cleaned_transformed_ds2.csv,out1_8sec_shift_noise,1
cleaned_transformed_ds2.csv,out1_8sec_shift_filt,1
cleaned_transformed_ds2.csv,out1_8sec_shift_noise_filt,1
cleaned_transformed_ds2.csv,out1_10sec_shift,3
cleaned_transformed_ds2.csv,out1_10sec_shift_noise,3
cleaned_transformed_ds2.csv,out1_10sec_shift_filt,3
cleaned_transformed_ds2.csv,out1_10sec_shift_noise_filt,3
