Method,BestDelay
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,2.524987363038202
LinRegre2,1.946980114304437
LinRegre2,1.946980114304437
LinRegre2,1.946980114304437
LinRegre2,2.524987363038202
LinRegre2,1.946980114304437
LinRegre2,2.524987363038202
LinRegre2,1.946980114304437
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,0.0
LinRegre2,10.0
LinRegre2,10.0
