Filename,Input,Output,CrossCorr2,PolyRegre2,LinRegre2,ARXM2,LSTM2
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_0sec,[ -34746.46632007   34432.65793743 2537550.61093572  215697.38586414],[ 219.68973774  555.36673049 2000.24346936  183.66867654],[  605.76311396 -1003.62222202  1998.72854556 -1798.09827991],[0.71240202 0.33056187 1.00003318 0.97594042],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_0sec,[ -56740.82850222   56228.38077709 4143809.12017039  352232.89375542],[2575.01054247  727.12698986 2000.82996552    0.        ],[23828.63266025 -1492.57160447  2053.16692619  2496.81061033],[0.74336262 0.46178612 0.99993424 1.17156097],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift,[ -34748.50715442   34434.68034024 2537699.65401849  215710.05485415],[ 221.00479662  577.04860929 2000.23669074  183.78740266],[  630.28025879 -1026.92010938  1998.84879496  1681.76664716],[0.20848545 1.20194632 0.99992236 0.82371889],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_noise,[ -34748.61936065   34434.79153309 2537707.84849145  215710.75140238],[ 220.97128603  577.07246458 2000.23656434  183.78299748],[  630.16086303 -1028.17076109  1998.85228486  1709.35049003],[0.10632625 1.21856245 0.99991503 0.83638391],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_filt,[ -34748.35613191   34434.53068167 2537688.62477431  215709.11734412],[ 221.22709198  580.07144811 2000.23804643  183.91594921],[  634.02549308 -1036.15571448  1998.83190652  4242.72451224],[0.38602545 0.39342295 0.99972934 1.21699743],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_noise_filt,[ -34748.72353708   34434.89476867 2537715.45654509  215711.39810368],[ 221.22352141  580.17671677 2000.23800997  183.91131458],[  633.98052523 -1035.16940122  1998.83220656  4237.2114555 ],[0.32438515 0.37715967 0.99972953 1.21357154],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift,[ -34749.83849066   34435.99965268 2537796.8821235   215718.31945702],[ 224.28943043  626.51894651 2000.23966479  184.51546032],[  687.40783905 -1125.1523641   1998.92058735 -1088.05427571],[1.87648455 3.10721712 0.99990509 1.14048762],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_noise,[ -34750.50209431   34436.65726308 2537845.34540713  215722.43894278],[ 224.27686401  626.90669435 2000.23932269  184.51640477],[  686.70381538 -1123.76555784  1998.92131747 -1102.29222909],[1.96997748 3.35399199 0.99990042 1.14376968],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_filt,[ -34749.78966226   34435.95126527 2537793.31616287  215718.01634252],[ 224.49560501  627.89994069 2000.23808756  184.54035582],[  688.51463691 -1132.95849672  1998.88239764 -1278.48439075],[ 1.05048071 -0.03769352  0.99889104  0.61742723],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_noise_filt,[ -34750.13743772   34436.29589984 2537818.71436664  215720.17524573],[ 224.52946988  627.78141649 2000.23822531  184.54165581],[  688.66509755 -1133.04555072  1998.88275259 -1279.4158671 ],[1.06432413 0.09247929 0.99922973 0.61181182],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift,[ -34750.58634002   34436.74074794 2537851.49791088  215722.96191913],[ 229.50011867  710.3932804  2000.23523893  185.41321822],[  778.5768158  -1330.20549209  1998.783722    -599.10235325],[2.05971991 1.60387944 1.00015759 0.53767521],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_noise,[ -34750.75951237   34436.9123563  2537864.14476775  215724.0369298 ],[ 229.53799953  709.93139486 2000.2352361   185.39759519],[  777.35422741 -1329.97223725  1998.78159361  -602.71501818],[2.24545009 1.64159587 1.00015061 0.43852666],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_filt,[ -34750.48051481   34436.63587848 2537843.76944655  215722.30498266],[ 229.67636389  711.32103245 2000.23770413  185.42604995],[  778.00709938 -1338.65796858  1998.81769832  -588.90668824],[2.48460384 0.72025834 1.00042301 5.50166369],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_noise_filt,[ -34751.5058418    34437.65194535 2537918.6495534   215728.66995652],[ 229.71548192  711.64376207 2000.23779097  185.42788086],[  778.23621076 -1340.55250584  1998.81979404  -588.76906753],[2.60459969 0.72803756 1.00043658 8.75602515],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift,[ -34750.78220533   34436.93484432 2537865.80204567  215724.17780207],[ 236.33588913  857.33485206 2000.23372395  186.52906755],[  906.75340341 -1751.20648925  1998.73501887  -327.54292299],[-0.79564682  3.70506759  1.00004813 -0.18336735],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_noise,[ -34749.71985472   34435.88208819 2537788.21808588  215717.58299476],[ 236.34614802  858.28588712 2000.2338296   186.5281471 ],[  905.80336356 -1749.51771219  1998.73293706  -323.44120115],[-0.82622525  3.74041852  1.00004661 -0.01399574],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_filt,[ -34750.73523929   34436.88830244 2537862.37209376  215723.88624861],[ 236.30921083  860.39679519 2000.23690577  186.63468625],[  912.18997988 -1757.09567286  1998.75193495  -331.84450324],[ 0.16659379  1.20457875  0.99841362 -0.04652751],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_noise_filt,[ -34750.03575356   34436.19513403 2537811.28832494  215719.54401585],[ 236.30236913  859.78162082 2000.23686611  186.62642248],[  912.98410691 -1755.88445303  1998.75241302  -330.08764586],[0.22024821 1.21604719 0.99832824 0.12479891],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift,[ -34750.6000369    34436.75432111 2537852.49820003  215723.04694591],[ 243.59534518 1202.73886884 2000.2402392   188.70244787],[ 1135.39524458 -2670.0947822   1998.5866667   -220.47367395],[-1.94347099 -0.07949734  1.0000796   1.79895963],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_noise,[ -34750.98002012   34437.13087256 2537880.24855146  215725.40578685],[ 243.620174   1203.7864183  2000.24025169  188.70762785],[ 1135.18007141 -2674.54947907  1998.58028246  -220.2087644 ],[-1.6520997  -0.10631774  1.0000787   1.83301238],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_filt,[ -34749.4576359    34435.62223756 2537769.06812315  215715.95520579],[ 243.54609842 1202.6525649  2000.24062639  188.61719189],[ 1134.70866237 -2699.29260393  1998.59085266  -218.47526191],[ 5.15784569  2.95819564  1.00045638 -3.0788084 ],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_noise_filt,[ -34748.92575864   34435.09516389 2537730.22487948  215712.6534446 ],[ 243.51679283 1203.02347494 2000.24067769  188.61349609],[ 1134.32679022 -2688.72509319  1998.58859     -219.57254404],[ 5.63146838  2.85305444  1.0004596  -7.10788184],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_2sec_shift,[ -56741.42020721   56228.96713818 4143852.3326615   352236.56691225],[2680.84756867  730.70106712 2000.81455896    0.        ],[24068.83434693 -1496.7183316   2039.04308971 -3715.92682147],[1.36610235 1.21500176 1.00021001 0.86685279],0
