Method,BestDelay
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,5.590584130759869
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,0.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
PolyRegre2,6.0
