in1,in2,in3,in4,out1_0sec,out2_0sec,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
11,-31.447,41.854,2000.0,169.88,1449.2,2485.8,1418.4,1420.8973956123398,1415.9058471783392,1415.2412981157577,1388.3,1387.0066561616804,1388.3038282612188,1387.6391905651458,1378.4,1378.3018236551686,1373.0982005444853,1373.145116291155,1355.5,1354.2481765163304,1354.808316487498,1354.8063116787566,1343.9,1342.577521309651,1268.3916426116325,1269.1973351412742,2479.6,2479.3487772662747,2480.9553859297766,2479.964953588218,2473.3,2473.7986966096523,2474.900615304671,2474.4407674433,2479.9,2479.634351640924,2472.357224970945,2473.571385936545,2463.9,2463.219970780634,2464.0380979359606,2463.462522660589,2464.1,2462.9322627687816,2319.24917640326,2318.8230462483643
12,-31.124,41.9,2000.0,170.74,1458.6,2485.9,1434.5,1434.4246360496657,1433.0837454587008,1433.0553261966738,1391.8,1391.383211634012,1399.2572979369234,1398.5004160678825,1380.0,1379.1103616882085,1381.1404989814598,1381.3507620639302,1358.1,1357.9634788939334,1363.08895339498,1362.8680598702488,1347.9,1347.5524052990586,1343.4313574630255,1343.8942791678107,2488.9,2490.1101570136607,2484.950866295713,2484.346520002261,2475.9,2474.100128019544,2476.847826299144,2476.6189608660507,2474.4,2475.2448748801667,2474.723973398668,2476.270586583026,2459.6,2460.027436862737,2466.8015472361058,2467.066998291834,2466.4,2467.881764754213,2453.3043351525994,2452.8359777438272
13,-30.913,41.736,2000.0,170.34,1464.2,2485.8,1449.2,1450.0700221551836,1446.981429894705,1447.031209681358,1418.4,1420.3919590973069,1415.9058471783392,1415.4077533313923,1388.3,1387.3149793098148,1388.3038282612188,1388.3459111053676,1378.4,1378.19880558751,1373.0982005444853,1373.1053952435575,1355.5,1355.9547238032148,1354.808316487498,1355.3123464658636,2485.8,2487.088338514501,2486.207645484669,2485.9150294352985,2479.6,2479.903304110751,2480.9553859297766,2481.021522826556,2473.3,2473.795818122649,2474.900615304671,2476.125812376249,2479.9,2479.338206678998,2472.357224970945,2473.001593168696,2463.9,2463.5957282488216,2464.0380979359606,2464.340982444415
14,-29.883,41.865,2000.0,169.74,1488.0,2488.8,1458.6,1459.7862807992888,1457.9944262485938,1457.4961686844574,1434.5,1434.322941470653,1433.0837454587008,1432.8377855174904,1391.8,1392.1170029450748,1399.2572979369234,1399.5854939186486,1380.0,1379.6546202572742,1381.1404989814598,1381.2982241889988,1358.1,1357.4910850721617,1363.08895339498,1363.752069543038,2485.9,2485.959180392161,2486.1521330338974,2485.850084393378,2488.9,2490.280596617934,2484.950866295713,2485.077895208492,2475.9,2475.5618410730763,2476.847826299144,2477.5414904550325,2474.4,2473.503648285129,2474.723973398668,2475.2682607883016,2459.6,2460.3611062883406,2466.8015472361058,2467.80348934029
15,-29.27,41.756,2000.0,170.5,1505.4,2488.3,1464.2,1464.2420125338072,1470.1095805117943,1469.5685702040723,1449.2,1450.5921369748792,1446.981429894705,1446.6333365027922,1418.4,1419.0885389372656,1415.9058471783392,1416.6284682830092,1388.3,1387.531247887285,1388.3038282612188,1388.0763066495756,1378.4,1379.6783577357116,1373.0982005444853,1373.7512460536143,2485.8,2485.592316299931,2486.718920207188,2485.704088062036,2485.8,2485.073787766132,2486.207645484669,2486.820508397839,2479.6,2478.999096096881,2480.9553859297766,2481.546250422476,2473.3,2474.2497069556557,2474.900615304671,2475.1046995913234,2479.9,2478.3288247314917,2472.357224970945,2473.1854097509117
16,-28.805,41.901,2000.0,169.66,1514.3,2490.4,1488.0,1488.885254156041,1486.233139070701,1486.1482106759722,1458.6,1459.8228138760564,1457.9944262485938,1457.809463997016,1434.5,1435.6019314279883,1433.0837454587008,1433.7981654149453,1391.8,1391.5422219418183,1399.2572979369234,1398.9665376827693,1380.0,1378.171015623919,1381.1404989814598,1381.4279018530349,2488.8,2489.106521654249,2487.874529541564,2486.368639396899,2485.9,2486.719767462853,2486.1521330338974,2487.1792939022107,2488.9,2488.9208716638173,2484.950866295713,2485.743078017653,2475.9,2476.765906653065,2476.847826299144,2476.8792949366098,2474.4,2474.435176853742,2474.723973398668,2474.9596213178474
17,-28.798,41.836,2000.0,169.94,1515.4,2489.8,1505.4,1506.8607361083425,1501.5980359787268,1501.9938640954622,1464.2,1463.5095266911228,1470.1095805117943,1470.5162231371871,1449.2,1449.176168427599,1446.981429894705,1447.4827607347952,1418.4,1419.2527762814225,1415.9058471783392,1415.9974330443936,1388.3,1389.4522969458776,1388.3038282612188,1388.4101627951572,2488.3,2489.372144048104,2488.882747549315,2487.8181410864618,2485.8,2485.2332322582174,2486.718920207188,2486.8299370747955,2485.8,2486.462786981296,2486.207645484669,2487.164664790009,2479.6,2481.982023967362,2480.9553859297766,2481.4083151356435,2473.3,2473.631106444196,2474.900615304671,2474.4575175500777
18,-27.734,41.998,2000.0,169.46,1538.9,2492.3,1514.3,1514.3359725925643,1512.249395789046,1512.6398648683828,1488.0,1489.790747733431,1486.233139070701,1487.0886290924702,1458.6,1459.0210309260126,1457.9944262485938,1458.092465760143,1434.5,1434.9600693412965,1433.0837454587008,1433.7755013709398,1391.8,1392.1248545881876,1399.2572979369234,1399.466402262792,2490.4,2492.063868403576,2489.7611567676563,2490.022594734869,2488.8,2488.5377126642165,2487.874529541564,2487.0733128693755,2485.9,2484.994563664523,2486.1521330338974,2487.0001567839963,2488.9,2489.6402555678933,2484.950866295713,2485.750815056923,2475.9,2474.797359625091,2476.847826299144,2476.0451276712283
19,-27.173,42.144,2000.0,168.29,1548.6,2494.7,1515.4,1514.948493328848,1522.1479160261938,1521.8595497469196,1505.4,1506.5916434271412,1501.5980359787268,1502.4750034330789,1464.2,1463.7137263772986,1470.1095805117943,1469.6461360387573,1449.2,1448.421958305111,1446.981429894705,1448.162634827347,1418.4,1418.5527172337918,1415.9058471783392,1415.9705650374617,2489.8,2490.153176989202,2490.7390396978976,2491.867593070831,2488.3,2488.496905354541,2488.882747549315,2488.333695343176,2485.8,2485.6747113337983,2486.718920207188,2487.226919646512,2485.8,2488.67524776418,2486.207645484669,2486.7779225880795,2479.6,2481.271986567766,2480.9553859297766,2480.184174462514
20,-26.884,41.822,2000.0,169.6,1559.4,2492.0,1538.9,1537.669056007454,1535.36441717484,1534.763514042907,1514.3,1512.7022892729303,1512.249395789046,1512.6907435642436,1488.0,1485.8720713130665,1486.233139070701,1485.135732055719,1458.6,1458.7252844279649,1457.9944262485938,1459.1206400628002,1434.5,1435.1850391031276,1433.0837454587008,1433.0192010510764,2492.3,2492.32669482104,2492.146924319921,2493.190566078116,2490.4,2491.0517673270024,2489.7611567676563,2489.250128683422,2488.8,2490.5200735144526,2487.874529541564,2488.1790378065107,2485.9,2486.3737419759555,2486.1521330338974,2486.4302732136725,2488.9,2489.387983236021,2484.950866295713,2484.3203665656893
