in1,in2,in3,in4,out1,out2,out1_2sec_shift,out1_2sec_shift_noise,out1_2sec_shift_filt,out1_2sec_shift_noise_filt,out1_4sec_shift,out1_4sec_shift_noise,out1_4sec_shift_filt,out1_4sec_shift_noise_filt,out1_6sec_shift,out1_6sec_shift_noise,out1_6sec_shift_filt,out1_6sec_shift_noise_filt,out1_8sec_shift,out1_8sec_shift_noise,out1_8sec_shift_filt,out1_8sec_shift_noise_filt,out1_10sec_shift,out1_10sec_shift_noise,out1_10sec_shift_filt,out1_10sec_shift_noise_filt,out2_2sec_shift,out2_2sec_shift_noise,out2_2sec_shift_filt,out2_2sec_shift_noise_filt,out2_4sec_shift,out2_4sec_shift_noise,out2_4sec_shift_filt,out2_4sec_shift_noise_filt,out2_6sec_shift,out2_6sec_shift_noise,out2_6sec_shift_filt,out2_6sec_shift_noise_filt,out2_8sec_shift,out2_8sec_shift_noise,out2_8sec_shift_filt,out2_8sec_shift_noise_filt,out2_10sec_shift,out2_10sec_shift_noise,out2_10sec_shift_filt,out2_10sec_shift_noise_filt
-35.319,42.311,3000.0,599.42,2296.9,1836.5,,-1.6071310422962608,144.97463293341087,144.4194072038332,,0.25367505300169585,0.30739556167760035,-0.5393906562307672,,0.011740395569958945,0.0,-0.8798796151586796,,-0.9386444831193543,0.0,-1.1161985947292814,,0.7267954599487481,0.0,0.24167195807272293,,0.4831911322785943,115.93923871361667,116.34513552663297,,-0.19440186848448626,0.24577994210497323,-0.08674196036995271,,1.088399101249723,0.0,0.9195715613030504,,-1.18198937711867,0.0,0.5220165180558561,,0.48844711822396836,0.0,-0.2552327338015721
-35.252,42.578,3000.0,598.36,2294.6,1839.8,,-0.9648621356824201,690.4348263966224,690.0231796857503,,-0.23686615044843046,10.486630706290802,10.315509757676718,,-0.04790740479662475,0.0,-0.8495790091648648,,-0.18868764264318316,0.0,-0.7301956611576952,,-1.1402179465207405,0.0,-0.5615015080792186,,-1.7145019951924583,552.334008780967,553.1400004288656,,0.8456793588061831,8.38533544835362,8.14270673729299,,-0.7542808454387764,0.0,0.6141880200890748,,-0.16517065887600405,0.0,0.036711014030634065,,-1.1618857507452633,0.0,-0.14525428506384946
-35.447,42.572,3000.0,598.83,2289.7,1834.1,2296.9,2296.399414816929,1605.6796580513433,1605.5233146126072,,-1.5397566096678224,134.48800222712006,134.66726600945236,,0.9767372683489668,0.30739556167760035,0.13619012598273963,,-0.8189864381614627,0.0,-0.3814763786040835,,-0.3590290697597807,0.0,-1.1153607603329156,1836.5,1836.4181086639926,1285.2681547473192,1286.4708682423848,,1.9870546944058236,107.55390326526306,107.18161733092941,,-0.8084404848599318,0.24577994210497323,0.42570072640917045,,-0.5891801118405356,0.0,-0.18902735587794628,,-0.3106679196135134,0.0,-0.15709520192023552
-35.196,42.732,3000.0,599.47,2298.0,1840.5,2294.6,2296.5100392626623,2159.9172681856608,2159.8891574260047,,-0.8099352144083481,690.1274308349448,690.3203996806023,,0.5798373546970511,10.486630706290802,10.843697139506627,,0.522349825720991,0.0,-0.11270163168010605,,-0.058542135909703294,0.0,-0.9478699236738113,1839.8,1837.8270378380578,1729.969002652524,1730.720853791213,,-0.5027432538621999,552.0882288388619,551.78401795019,,0.32962277656652045,8.38533544835362,8.373505462954986,,0.9118513860664716,0.0,-0.1761996416752937,,0.03241137313501375,0.0,-0.21054108627850718
-34.732,42.638,3000.0,603.43,2322.5,1848.9,2289.7,2289.072060178629,2284.748116840203,2284.922508318632,2296.9,2296.2872723327346,1605.6796580513433,1605.8000089933175,,-0.214150452347608,134.48800222712006,134.7378913486495,,-0.47669227867327746,0.30739556167760035,0.5751453033458476,,0.5936128049360113,0.0,-0.5271492272729897,1834.1,1835.182737652804,1829.6605242855558,1829.9291448907916,1836.5,1835.7425778452264,1285.2681547473192,1285.6002855619959,,1.9991581863601928,107.55390326526306,107.31361160438553,,0.8898994305540827,0.24577994210497323,-0.05314148150997876,,1.4771685414935016,0.0,-0.2520335959689195
-34.707,42.338,3000.0,601.95,2321.9,1850.7,2298.0,2296.872491015633,2302.8769087762075,2303.4193888316017,2294.6,2296.116082893219,2159.9172681856608,2160.1522933881542,,-1.0013434328405615,690.1274308349448,690.2871941704257,,-1.9744270413015466,10.486630706290802,10.808089874912621,,-0.7800042916373157,0.0,-0.32272867852660353,1840.5,1840.2286557627356,1841.3543672787323,1841.702681782248,1839.8,1839.2297257798573,1729.969002652524,1730.8259260853015,,-1.0683494128482092,552.0882288388619,551.4944288788455,,-0.4028254545724746,8.38533544835362,8.146723539138643,,-0.8418672039528655,0.0,-0.2029374633332962
-34.196,42.37,3000.0,600.01,2333.1,1866.9,2322.5,2321.823963221895,2315.227579108718,2315.9604909079562,2289.7,2289.0317203922355,2284.748116840203,2285.2641270540876,2296.9,2296.39248881677,1605.6796580513433,1605.6748983231805,,-0.19934743982654848,134.48800222712006,134.66902988992803,,0.8285445376168498,0.30739556167760035,-0.020168860684475542,1848.9,1848.1459545709386,1847.5506924965757,1847.9185719496552,1834.1,1833.703880344932,1829.6605242855558,1830.7478338923984,1836.5,1835.271999717434,1285.2681547473192,1284.6073095089232,,0.23394068914789504,107.55390326526306,107.45088616144818,,0.5268983778781542,0.24577994210497323,0.2979389288529317
-33.823,42.497,3000.0,602.68,2350.4,1874.5,2321.9,2321.4811666433816,2324.968802013417,2325.577121610572,2298.0,2298.1979131169896,2302.8769087762075,2303.1528820717162,2294.6,2294.1709142462396,2159.9172681856608,2159.7932116274005,,1.3040918971588609,690.1274308349448,690.3689493169616,,0.8427378904162312,10.486630706290802,10.296790078895055,1850.7,1851.0520873859348,1854.9578759583849,1855.218209256262,1840.5,1840.2399493164005,1841.3543672787323,1842.3624592010858,1839.8,1840.0155461160125,1729.969002652524,1729.373714085461,,-0.8394164565232177,552.0882288388619,552.1822607073502,,-0.402510531200331,8.38533544835362,8.919578485986742
-33.865,42.587,3000.0,601.49,2345.6,1874.8,2333.1,2333.548442707127,2334.6872899562723,2335.1459998927935,2322.5,2322.402607300969,2315.227579108718,2315.1862155799117,2289.7,2290.5945834206036,2284.748116840203,2284.587920234283,2296.9,2296.3836424853243,1605.6796580513433,1606.186512274869,,-0.28683237784116283,134.48800222712006,134.9081343572159,1866.9,1867.125890663585,1864.3320972878616,1864.4087412822528,1848.9,1849.16243899371,1847.5506924965757,1848.1659701838794,1834.1,1835.901163793636,1829.6605242855558,1829.660144646844,1836.5,1837.5733721589083,1285.2681547473192,1285.6944443704888,,-0.021640692830308873,107.55390326526306,108.30230503128905
-32.849,42.557,3000.0,598.31,2370.5,1906.2,2350.4,2350.982108893686,2344.5467233578534,2344.8902978106244,2321.9,2322.0911130015156,2324.968802013417,2325.3391420691173,2298.0,2294.963790000786,2302.8769087762075,2302.7098626453635,2294.6,2294.748037318853,2159.9172681856608,2160.7988133937947,,1.0921093805295095,690.1274308349448,690.6832969366146,1874.5,1874.8616091425718,1873.202573547337,1873.1245448839968,1850.7,1850.3502263624093,1854.9578759583849,1855.3157213460534,1840.5,1841.8225015095945,1841.3543672787323,1842.1637817954536,1839.8,1840.2909417337096,1729.969002652524,1730.21692661833,,0.12077305457027354,552.0882288388619,552.4301174679272
-32.853,42.523,3000.0,596.09,2365.2,1908.6,2345.6,2346.9438134572515,2353.522590984238,2354.146673320516,2333.1,2333.760727653344,2334.6872899562723,2335.5581794903464,2322.5,2322.750294589391,2315.227579108718,2315.0369822028497,2289.7,2288.973282645649,2284.748116840203,2285.483497048078,2296.9,2296.6358592074675,1605.6796580513433,1605.4994311562002,1874.8,1875.7364187967469,1883.9314968203203,1883.8217845672661,1866.9,1867.0387410052606,1864.3320972878616,1864.4910964695941,1848.9,1849.8247561300025,1847.5506924965757,1848.5170813130749,1834.1,1834.6736753003106,1829.6605242855558,1829.3389915321281,1836.5,1836.8377520775684,1285.2681547473192,1285.1518006403303
-30.972,42.678,3000.0,604.89,2446.7,1944.1,2370.5,2370.2750614771203,2366.37156557146,2367.0615636145203,2350.4,2349.959830447744,2344.5467233578534,2345.1115709433875,2321.9,2322.6445251928144,2324.968802013417,2324.5634743137125,2298.0,2298.2789679840944,2302.8769087762075,2302.689848335439,2294.6,2294.9359627832714,2159.9172681856608,2158.9621560015567,1906.2,1905.4276718885112,1899.5666210613629,1899.8592821960897,1874.5,1874.5286618258833,1873.202573547337,1873.186707298689,1850.7,1850.1785554244861,1854.9578759583849,1855.370022046116,1840.5,1840.3810569176947,1841.3543672787323,1840.7882172251427,1839.8,1841.216575833995,1729.969002652524,1729.6848590221557
-30.658,42.643,3000.0,598.18,2441.0,1956.7,2365.2,2364.8516611913715,2389.537034684483,2389.988338180611,2345.6,2346.161243965807,2353.522590984238,2353.404344649694,2333.1,2331.49985551977,2334.6872899562723,2334.0587956176246,2322.5,2321.8626053982684,2315.227579108718,2314.5803671449826,2289.7,2288.987740380453,2284.748116840203,2283.9771703533415,1908.6,1909.7929760104666,1917.4487632977443,1918.1459948370511,1874.8,1874.8489731641403,1883.9314968203203,1884.0975848125508,1866.9,1867.5196127904733,1864.3320972878616,1864.212417920409,1848.9,1849.72547975861,1847.5506924965757,1847.2465470577213,1834.1,1834.111041657634,1829.6605242855558,1829.6507922968754
