input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
-0.04417,0.59108,540.0,1.04858,-9.98746,1112.5,14.046,10.719,300.98,514.9,598.23,503.41
0.05168,0.31772,540.0,1.05227,-9.98746,1109.0,14.011,10.828,298.1,512.18,598.88,501.67
0.00306,0.61039,540.0,1.04879,-9.98746,1120.9,14.138,10.427,304.96,518.09,596.4,506.78
-0.06212,0.52663,540.0,1.04374,-9.98746,1117.6,14.085,10.572,304.26,516.98,597.15,505.22
-0.00081,0.50408,540.0,1.04367,-9.98746,1120.4,14.135,10.435,304.54,517.34,596.43,506.64
-0.01621,0.53614,540.0,1.0408,-9.98746,1135.5,14.207,10.209,308.88,522.0,594.9,508.56
0.04429,0.25746,540.0,1.039505,-9.98746,1136.1,14.207,10.2,308.95,521.65,594.79,508.55
0.05058,0.25942,540.0,1.034115,-9.98746,1152.6,14.248,10.076,312.02,523.41,593.95,509.15
0.02728,0.22947,540.0,1.03964,-9.98746,1165.9,14.265,9.9991,316.21,526.06,593.25,509.52
-0.0034,0.60029,540.0,1.035855,-9.98746,1233.2,14.338,9.7627,333.77,529.51,591.52,509.67
0.03382,0.37756,540.0,1.033555,-9.98746,1165.0,14.263,10.005,316.22,526.37,593.29,509.55
0.01386,0.46399,540.0,1.0329,-9.98746,1203.7,14.316,9.8605,323.71,525.96,592.43,509.5
0.05597,0.29424,540.0,1.03095,-9.98746,1241.0,14.346,9.7457,335.65,529.01,591.45,509.57
0.01622,0.41525,540.0,1.025775,-9.98746,1251.2,14.354,9.7231,338.52,528.88,591.33,509.48
0.11016,0.29035,540.0,1.023225,-9.98746,1289.7,14.377,9.6268,352.1,531.2,590.5,509.34
0.03729,0.40635,540.0,1.02326,-9.98746,1412.6,14.43,9.4129,394.14,533.81,588.87,508.26
0.02893,0.42311,540.0,1.0224,-9.98746,1492.9,14.452,9.2914,420.31,535.61,587.77,507.5
0.02882,0.49649,540.0,1.02054,-9.98746,1490.4,14.452,9.3036,418.93,535.25,587.95,507.52
0.0599,0.43148,540.0,1.016025,-9.98746,1519.7,14.459,9.2684,427.59,535.72,587.67,507.24
0.06473,0.27174,540.0,1.015555,-9.98746,1587.5,14.474,9.1932,446.26,536.2,587.04,506.56
0.00548,0.46074,540.0,1.009205,-9.98746,1783.9,14.513,8.9975,495.82,539.22,585.26,504.78
0.06806,0.47921,540.0,1.00912,-9.98746,1808.6,14.517,8.9696,502.82,540.93,584.96,504.66
0.03772,0.45658,540.0,1.007775,-9.98746,2198.7,14.574,8.7182,575.54,543.48,582.64,501.65
0.10849,0.2336,540.0,1.00696,-9.98746,2204.9,14.574,8.7116,576.3,542.74,582.52,501.51
-0.04234,0.59868,540.0,1.007105,-9.98746,2311.2,14.584,8.6569,594.04,544.02,581.99,500.88
0.02829,0.44536,540.0,0.999555,-9.98746,2380.6,14.589,8.6083,607.24,545.94,581.4,500.5
