in1,in2,in3,in4,in1,in2,,,
-35.647,41.627,2000,171.73,1350.2,2459.6,,,
-35.636,41.567,2000,167.96,1343.9,2464.1,,,
-35.475,41.862,2000,168.92,1347.9,2466.4,,,
-35.372,41.835,2000,171.59,1355.5,2463.9,,,
-35.431,41.468,2000,172.75,1358.1,2459.6,,,
-34.034,41.822,2000,166.31,1378.4,2479.9,,,
-34.25,41.79,2000,169.92,1380,2474.4,,,
-34.05,41.711,2000,171.55,1388.3,2473.3,,,
-33.823,41.707,2000,170.4,1391.8,2475.9,,,
-32.823,41.781,2000,171.57,1418.4,2479.6,,,
-31.739,41.822,2000,165.9,1434.5,2488.9,,,
-31.447,41.854,2000,169.88,1449.2,2485.8,,,
-31.124,41.9,2000,170.74,1458.6,2485.9,,,
-30.913,41.736,2000,170.34,1464.2,2485.8,,,
-29.883,41.865,2000,169.74,1488,2488.8,,,
-29.27,41.756,2000,170.5,1505.4,2488.3,,,
-28.805,41.901,2000,169.66,1514.3,2490.4,,,
-28.798,41.836,2000,169.94,1515.4,2489.8,,,
-27.734,41.998,2000,169.46,1538.9,2492.3,,,
-27.173,42.144,2000,168.29,1548.6,2494.7,,,
-26.884,41.822,2000,169.6,1559.4,2492,,,
-25.897,42.043,2000,169.45,1578.5,2494.1,,,
-26.125,41.856,2000,169.24,1574.5,2493.2,,,
-25.411,41.836,2000,169.51,1588.9,2493.4,,,
-25.039,41.745,2000,171.08,1598.9,2491.7,,,
-24.526,41.734,2000,173.06,1610.8,2490.2,,,
-23.618,41.689,2000,169.48,1616.9,2494,,,
-22.799,41.955,2000,168.77,1622.8,2496.7,,,
-22.509,41.829,2000,168.95,1625.6,2496.1,,,
-22.4,41.731,2000,169.46,1627.4,2495.2,,,
-21.239,41.963,2000,169.35,1629.2,2497.3,,,
-20.813,41.93,2000,172.75,1633.4,2494.2,,,
-19.917,42.015,2000,171.42,1625.3,2496.6,,,
-20.208,41.631,2000,170.47,1626.9,2495.3,,,
-19.483,41.989,2000,170.32,1619.4,2497.8,,,
-19.121,41.711,2000,168.34,1612.7,2498.5,,,
-18.226,42.053,2000,168.39,1600.6,2500.9,,,
-18.533,41.496,2000,170.56,1608.5,2495.7,,,
-17.594,41.672,2000,170.04,1594.6,2497.8,,,
-16.98,41.562,2000,170.19,1586.5,2497.5,,,
-15.89,41.907,2000,170.03,1571.1,2500.2,,,
-15.972,41.765,2000,170.75,1573.6,2498.7,,,
-15.585,41.771,2000,170.28,1567.7,2499.5,,,
-14.592,41.963,2000,170.3,1554,2501.2,,,
-14.228,41.522,2000,170.63,1549.9,2498.8,,,
-13.019,41.892,2000,170.71,1529,2501.5,,,
-12.855,41.605,2000,170.69,1525.6,2500.2,,,
-12.264,41.733,2000,171.42,1513.8,2500.5,,,
-11.781,41.924,2000,168.02,1494.2,2505.1,,,
-11.738,41.505,2000,168.25,1492.6,2502.7,,,
-10.998,41.461,2000,170.3,1474,2501.1,,,
-10.335,41.436,2000,171.47,1453.3,2500.3,,,
-97.425,41.575,2000,172.01,1432.6,2500.9,,,
-91.002,41.493,2000,169.05,1398.6,2503.8,,,
-87.482,41.448,2000,166.82,1378,2505.9,,,
-76.848,41.64,2000,171.14,1346.7,2503.6,,,
-79.673,41.365,2000,171.23,1357.4,2501.8,,,
-72.041,41.409,2000,172.63,1330.8,2501.3,,,
-69.745,41.448,2000,168.41,1311,2505.7,,,
-67.821,41.266,2000,167.03,1299.7,2506.2,,,
-55.727,41.515,2000,171.63,1268.3,2503.9,,,
-48.906,41.456,2000,173.01,1248.7,2502.8,,,
-42.252,41.426,2000,167.85,1214.7,2508,,,
-36.407,41.454,2000,169.48,1200.8,2507,,,
-3.21,41.375,2000,173.51,1197.7,2503.1,,,
-26.217,41.587,2000,168.4,1168.2,2509.5,,,
-27.032,41.4,2000,168.03,1169.9,2508.8,,,
-15.544,41.31,2000,172.55,1148.7,2504.8,,,
-10.682,41.358,2000,170.75,1131.2,2507.1,,,
-11.227,41.261,2000,168.64,1128,2508.6,,,
-12.717,41.239,2000,168.49,1131.7,2508.5,,,
-0.41548,41.301,2000,172.07,1117.1,2506,,,
0.9411,41.467,2000,171.14,1079.6,2508.8,,,
13.011,41.229,2000,168.62,1065.4,2510.2,,,
19.612,41.245,2000,169.76,1051.5,2509.6,,,
29.206,41.403,2000,170,1028.1,2510.9,,,
30.185,41.212,2000,169.42,1025,2510.5,,,
37.859,41.538,2000,169.33,1005.5,2512.9,,,
38.328,41.139,2000,169.78,1006.4,2510.4,,,
37.165,41.57,2000,169.9,1008.3,2512.4,,,
31.666,41.453,2000,169.72,1021.4,2511.6,,,
23.547,41.272,2000,169.49,1041.1,2510.3,,,
18.062,41.205,2000,173.34,1063.4,2505.9,,,
14.857,41.491,2000,170.65,1064.7,2509.7,,,
0.84104,41.346,2000,169.39,1078.5,2509.7,,,
0.72091,41.718,2000,168.01,1077.6,2512.9,,,
-0.24735,41.283,2000,168.73,1105.1,2509.2,,,
-0.77837,41.444,2000,168.53,1118.3,2509.9,,,
-10.574,41.503,2000,172.85,1135.6,2505.9,,,
-11.263,41.795,2000,170,1130.3,2510.1,,,
-1.486,41.532,2000,168.67,1137.4,2509.7,,,
-23.514,41.097,2000,169.75,1164.5,2505.8,,,
-32.896,41.32,2000,169.67,1190.9,2506.4,,,
-41.504,41.222,2000,173.03,1225.2,2502.1,,,
-41.616,41.533,2000,168.26,1213.6,2508.2,,,
-46.236,41.333,2000,168.08,1227.8,2507,,,
-47.086,41.549,2000,172.54,1241.6,2503.9,,,
-52.784,41.666,2000,171.31,1257.5,2505.2,,,
-60.495,41.818,2000,166.48,1272.3,2510.1,,,
-69.251,41.451,2000,171.28,1316.6,2503,,,
-73.829,41.643,2000,171.53,1335.7,2503.4,,,
-83.185,41.387,2000,171.21,1371.7,2501.7,,,
-88.193,41.406,2000,167.06,1381.4,2505.4,,,
-90.498,41.404,2000,170.93,1401.1,2501.6,,,
-92.249,41.397,2000,172.57,1412.5,2499.9,,,
-10.359,41.673,2000,167.84,1446.2,2505,,,
-10.695,41.665,2000,167.54,1457.7,2505,,,
-11.474,41.716,2000,170.91,1491.3,2501.5,,,
-11.676,41.792,2000,171.57,1498.8,2501.1,,,
-11.91,41.825,2000,170.96,1503.9,2501.7,,,
-12.574,41.537,2000,167.99,1513.9,2502.6,,,
-12.472,41.784,2000,168.64,1513,2503.3,,,
-13.034,41.812,2000,170.64,1529.1,2501.2,,,
-14.27,41.847,2000,171.37,1551.4,2499.8,,,
-15.194,41.684,2000,170.72,1563.4,2498.9,,,
-15.366,41.392,2000,170.62,1566.1,2497.3,,,
-15.34,42.023,2000,169.29,1562.4,2501.9,,,
-16.34,41.802,2000,167.89,1574,2501.4,,,
-17.336,41.762,2000,171.09,1592.4,2497.4,,,
-17.687,41.778,2000,170.35,1596.2,2498,,,
-18.059,41.723,2000,169.94,1600.9,2497.8,,,
-18.385,41.726,2000,170.42,1606.1,2497.1,,,
-19.353,41.621,2000,169.9,1617.8,2496.4,,,
-20.217,41.542,2000,170.15,1626.6,2495.1,,,
-20.382,41.617,2000,170.6,1628.4,2495,,,
-20.964,41.786,2000,168.7,1628,2497.2,,,
-21.503,41.936,2000,169.35,1629.4,2497,,,
-21.926,41.823,2000,168.88,1628.2,2496.6,,,
-21.712,41.965,2000,169.77,1629.8,2496.6,,,
-21.906,41.82,2000,170.46,1630.9,2495,,,
-22.733,42.051,2000,169.58,1624.3,2496.5,,,
-23.947,41.797,2000,169.09,1611.6,2494.7,,,
-24.845,41.784,2000,169.26,1598.6,2493.8,,,
-25.047,41.92,2000,169.66,1595.3,2494,,,
-25.95,41.769,2000,170.63,1581.1,2491.5,,,
-26.024,42.077,2000,172.37,1581.2,2491.4,,,
-26.693,41.669,2000,169.48,1564.2,2491.5,,,
-26.818,41.825,2000,169.42,1560.5,2492.2,,,
-28.193,41.692,2000,169.75,1530.4,2489.9,,,
-28.42,41.711,2000,169.48,1524.4,2490.1,,,
-29.241,41.651,2000,169.95,1505.6,2488.3,,,
-29.567,41.824,2000,170.32,1497.2,2488.5,,,
-29.447,42.115,2000,171.11,1500,2489.4,,,
-30.828,41.746,2000,169.3,1464.2,2487,,,
-31.207,41.804,2000,170.02,1455.7,2485.9,,,
-31.974,41.693,2000,170.43,1437.9,2483,,,
-31.908,42.054,2000,169.88,1436.4,2485.7,,,
-32.603,41.764,2000,170.46,1421.9,2481.4,,,
-33.472,41.75,2000,171.62,1402.5,2476.6,,,
-33.762,41.869,2000,170.93,1393.4,2476.6,,,
-33.997,41.766,2000,171.08,1388.4,2474.5,,,
-34.973,41.576,2000,170.44,1364.4,2467.3,,,
-35.564,41.801,2000,166.38,1341.5,2468.2,,,
-35.617,41.662,2000,171.87,1351,2460,,,
-35.914,41.602,2000,171.11,1342.8,2457.3,,,
-35.762,41.68,2000,171.74,1347.1,2458.7,,,
-35.715,41.79,2000,166.55,1338.2,2466.5,,,
-35.601,41.815,2000,170.83,1348.6,2462.4,,,
-35.551,41.926,2000,171.3,1350.1,2463.1,,,
-35.729,41.555,2000,171.36,1347.9,2458.8,,,
-35.35,41.944,2000,166.31,1345.7,2471.2,,,
-35.765,41.849,2000,171.29,1345.3,2460.3,,,
-35.392,41.819,2000,172.38,1356.5,2462.6,,,
-34.555,41.975,2000,167.68,1367.4,2476,,,
-34.049,41.908,2000,166.93,1378.7,2479.6,,,
-33.729,41.945,2000,169.62,1391.3,2478.6,,,
-32.819,41.837,2000,171.19,1417.4,2480.3,,,
-32.338,41.99,2000,170.88,1427.9,2483.1,,,
-32.268,41.096,2000,170.61,1434.4,2478.7,,,
-31.983,40.142,2000,169.98,1446.1,2475,,,
-31.326,40.797,2000,170.42,1459.6,2479.8,,,
-30.148,40.637,2000,171.34,1492,2480.3,,,
-30.007,40.637,2000,166.04,1485.3,2485.7,,,
-29.696,40.693,2000,168.29,1497.1,2484.3,,,
-28.724,40.084,2000,170.01,1528,2480.6,,,
-28.421,40.145,2000,170.87,1536.5,2480.5,,,
-28.278,39.909,2000,168.38,1536.6,2481.8,,,
-27.552,39.628,2000,168.88,1555.9,2480.6,,,
-26.803,39.481,2000,170.56,1576.2,2478.9,,,
-26.203,39.463,2000,169.53,1586.5,2480.3,,,
