in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
13.54,436.23,2300.0,-73.293,14.205,10.018,9089.8,13.647,97.686,909.81,2250000.0,679.36,618.11,1398.0,,,,,,,,,
13.577,434.18,2300.0,-71.311,14.609,10.004,9280.5,13.645,97.411,901.41,2300000.0,679.05,618.06,1402.6,,,,,,,,,
13.315,431.15,2300.0,-69.326,15.0,0.99953,9413.8,13.639,96.643,899.66,2340000.0,677.18,616.23,1410.9,,,,,,,,,
13.366,427.4,2300.0,-67.351,15.395,10.007,9292.8,13.639,9.596,892.04,2350000.0,677.03,615.94,1409.7,,,,,,,,,
13.468,423.84,2300.0,-65.393,15.793,10.018,9175.4,13.639,95.364,883.58,2350000.0,677.16,615.96,1407.5,,,,,,,,,
13.439,420.99,2300.0,-63.415,16.195,10.018,9187.6,13.637,94.824,878.26,2380000.0,676.59,615.4,1409.6,,,,,,,,,
13.355,418.25,2300.0,-61.383,16.605,10.023,9147.2,13.635,94.234,875.73,2390000.0,675.82,614.54,1411.2,,,,,,,,,
13.448,414.89,2300.0,-59.417,17.003,10.028,9105.5,13.635,93.701,866.68,2400000.0,675.85,614.54,1410.7,,,,,,,,,
13.602,411.35,2300.0,-57.466,17.402,10.023,9181.1,13.634,93.242,853.47,2450000.0,676.04,614.83,1412.3,,,,,,,,,
13.664,407.71,2300.0,-55.461,17.808,10.027,9160.8,13.633,92.645,844.3,2470000.0,675.85,614.59,1412.9,,,,,,,,,
13.627,404.63,2300.0,-53.506,18.202,10.034,9098.2,13.631,92.046,839.94,2480000.0,675.29,613.93,1413.4,,,,,,,,,
13.507,401.8,2300.0,-51.551,18.601,10.047,8975.0,13.628,91.399,839.69,2470000.0,674.41,612.89,1413.3,,,,,,,,,
13.556,398.09,2300.0,-49.558,19.003,10.054,8920.4,13.626,90.776,831.4,2480000.0,674.18,612.57,1413.2,,,,,,,,,
13.572,394.74,2300.0,-4.758,19.402,10.036,9145.6,13.624,90.295,819.64,2550000.0,673.54,612.08,1420.3,,,,,,,,,
13.316,391.0,2300.0,-45.614,19.804,10.022,9339.4,13.618,8.951,814.73,2620000.0,671.54,610.13,1430.2,,,,,,,,,
13.276,387.07,2300.0,-4.364,20.206,1.001,9520.0,13.614,88.874,804.19,2690000.0,670.59,609.23,1437.1,,,,,,,,,
13.738,384.05,2300.0,-41.681,20.605,10.019,9411.1,13.618,88.703,788.23,2690000.0,672.53,611.03,1430.2,,,,,,,,,
14.033,381.43,2300.0,-39.695,21.007,10.024,9351.7,13.621,88.477,776.78,2700000.0,673.65,612.05,1426.2,,,,,,,,,
14.019,379.14,2300.0,-37.702,21.409,10.015,9472.9,13.619,88.113,770.89,2750000.0,673.11,611.53,1430.3,,,,,,,,,
13.998,375.77,2300.0,-35.743,21.808,10.018,9465.5,13.617,87.524,764.63,2760000.0,672.5,610.81,1432.1,,,,,,,,,
14.125,372.0,2300.0,-33.796,22.206,1.004,9233.6,13.617,86.919,757.55,2730000.0,672.8,610.85,1426.8,,,,,,,,,
14.221,369.16,2300.0,-31.848,22.599,10.047,9160.4,13.617,86.495,750.91,2730000.0,672.91,610.84,1425.0,,,,,,,,,
14.031,367.0,2300.0,-29.878,22.998,10.023,9463.6,13.613,86.079,746.54,2820000.0,671.32,609.33,1435.9,,,,,,,,,
14.439,363.55,2300.0,-27.904,23.401,10.023,9464.0,13.616,85.828,729.85,2850000.0,672.8,610.57,1432.7,,,,,,,,,
14.726,360.13,2300.0,-25.907,23.802,1.002,9508.3,13.617,85.501,715.55,2880000.0,673.63,611.16,1431.9,,,,,,,,,
14.383,356.74,2300.0,-23.902,24.206,10.011,9659.7,13.61,8.472,714.54,2940000.0,671.26,608.72,1441.6,,,,,,,,,
14.521,353.63,2300.0,-21.951,24.605,10.015,9622.8,13.61,84.303,705.87,2950000.0,671.47,608.75,1440.5,,,,,,,,,
14.839,351.1,2300.0,-20.503,24.899,10.022,9541.6,13.613,84.108,694.82,2940000.0,672.7,609.74,1435.9,,,,,,,,,
14.903,348.89,2300.0,-2.0,25.0,10.024,9534.9,13.613,83.799,688.66,2950000.0,672.67,609.48,1436.3,,,,,,,,,
14.963,348.73,2300.0,-2.0,25.0,10.023,9542.7,13.613,83.822,686.8,2950000.0,672.93,609.69,1435.9,,,,,,,,,
15.035,349.15,2300.0,-2.0,25.0,10.019,9576.0,13.615,83.954,685.63,2960000.0,673.32,610.09,1435.5,,,,,,,,,
14.972,349.11,2300.0,-2.0,25.0,10.019,9581.4,13.614,83.903,686.9,2960000.0,673.0,609.8,1436.4,,,,,,,,,
14.792,349.21,2300.0,-2.0,25.0,10.026,9513.6,13.612,83.759,692.26,2940000.0,672.2,609.1,1436.9,,,,,,,,,
14.77,349.26,2300.0,-2.0,25.0,10.027,9505.9,13.611,83.747,692.98,2940000.0,672.11,609.02,1436.9,,,,,,,,,
14.897,349.05,2300.0,-2.0,25.0,10.025,9514.9,13.613,83.814,689.47,2940000.0,672.69,609.52,1435.8,,,,,,,,,
14.961,349.0,2300.0,-19.985,24.994,10.026,9500.4,13.614,8.385,688.02,2940000.0,673.0,609.8,1434.7,,,,,,,,,
14.994,348.87,2300.0,-19.569,24.868,10.021,9559.2,13.614,83.876,683.9,2960000.0,673.04,609.73,1435.8,,,,,,,,,
