in1,in2,in3,in4,out1,out2,,,
-35.319,42.311,3000,599.42,2296.9,1836.5,,,
-35.252,42.578,3000,598.36,2294.6,1839.8,,,
-35.447,42.572,3000,598.83,2289.7,1834.1,,,
-35.196,42.732,3000,599.47,2298,1840.5,,,
-34.732,42.638,3000,603.43,2322.5,1848.9,,,
-34.707,42.338,3000,601.95,2321.9,1850.7,,,
-34.196,42.37,3000,600.01,2333.1,1866.9,,,
-33.823,42.497,3000,602.68,2350.4,1874.5,,,
-33.865,42.587,3000,601.49,2345.6,1874.8,,,
-32.849,42.557,3000,598.31,2370.5,1906.2,,,
-32.853,42.523,3000,596.09,2365.2,1908.6,,,
-30.972,42.678,3000,604.89,2446.7,1944.1,,,
-30.658,42.643,3000,598.18,2441,1956.7,,,
-30.595,42.266,3000,597.96,2445.3,1957.3,,,
-29.764,42.602,3000,599.09,2473.6,1970.7,,,
-29.182,42.568,3000,599.61,2495,1978.1,,,
-28.578,42.576,3000,606,2531.8,1980.8,,,
-28.125,42.412,3000,600.76,2535.9,1988.1,,,
-27.955,42.413,3000,599.1,2537.7,1990.4,,,
-27.385,42.265,3000,600.84,2563.4,1993.2,,,
-26.749,42.231,3000,601.55,2587.8,1996.2,,,
-26.917,42.478,3000,601.47,2579.7,1996,,,
-25.992,42.509,3000,593.57,2591.4,2002.6,,,
-24.984,42.345,3000,600.81,2642,2000.8,,,
-24.44,42.099,3000,601.89,2660.5,1999.5,,,
-24.306,42.205,3000,603.4,2666.3,1999.2,,,
-23.313,41.953,3000,596.46,2669.4,1997.5,,,
-22.798,42.136,3000.1,597.47,2675.6,1995.2,,,
-22.592,42.049,3000,602.49,2687.7,1992.9,,,
-22.288,42.503,3000,599.11,2679.6,1992.8,,,
-22.121,42.236,3000,600.93,2684.4,1990.7,,,
-21.091,42.361,3000,599.4,2676.1,1983.9,,,
-20.382,42.339,3000,596.45,2663.3,1979.2,,,
-19.956,42.739,3000,602.8,2669.5,1975.1,,,
-19.368,42.08,3000,601.9,2661.9,1969.1,,,
-19.151,42.442,3000,598.36,2651,1970.2,,,
-18.161,42.301,3000,599.85,2641.2,1963.3,,,
-17.923,41.993,3000,598,2635.3,1962,,,
-16.858,42.169,3000,598.78,2623,1958.2,,,
-16.83,42.098,3000,600.73,2627,1956.5,,,
-16.047,42.169,3000,603.26,2622.9,1952.9,,,
-15.705,41.852,3000,600.69,2615,1952.8,,,
-15.119,41.728,3000,596.43,2600.3,1954.8,,,
-14.139,42.007,3000,600.93,2598.5,1951.7,,,
-13.967,42.035,3000,602.22,2599.4,1950.7,,,
-13.135,41.846,3000,602.09,2591.7,1949.8,,,
-12.72,42.335,3000,597.98,2577.2,1955.7,,,
-12.526,41.596,3000,596.13,2574.5,1953.8,,,
-12.22,41.797,3000,600.94,2580.8,1950.7,,,
-11.847,42.121,3000,599.14,2572.3,1954,,,
-11.141,42.257,3000,601.62,2570.4,1952.8,,,
-10.527,41.792,3000,601.69,2566.8,1950.9,,,
-10.421,41.801,3000,601.2,2564.8,1951.4,,,
-85.202,41.904,3000,594.98,2534.4,1958.8,,,
-83.614,41.74,3000,599.55,2543.1,1954.1,,,
-84.817,41.868,3000,598.65,2541.8,1955.4,,,
-80.606,41.75,3000,598.56,2538.4,1955.3,,,
-72.516,41.732,3000,599.87,2534.1,1954.7,,,
-65.231,41.566,3000,601.97,2532.7,1952.6,,,
-60.933,41.718,3000,598.71,2521.7,1956.5,,,
-57.001,41.838,3000.1,600.59,2521.7,1955.8,,,
-44.431,41.716,3000,601.86,2514.1,1955.1,,,
-43.324,41.663,3000,600.79,2511.2,1955.8,,,
-38.497,41.926,3000,599.52,2503.5,1958.6,,,
-27.223,41.784,3000,597.96,2491.7,1960.1,,,
-25.398,41.637,3000,596.76,2488.5,1960.6,,,
-17.998,41.9,3000,602.05,2492.3,1957.8,,,
-19.057,41.868,3000,604.11,2497.4,1955.8,,,
-20.731,41.453,3000,598.7,2489.5,1958.4,,,
-12.272,42.36,3000,597.12,2476.1,1964.7,,,
-0.47145,41.295,3000,598.1,2477.4,1959.4,,,
0.61165,41.534,3000,598.68,2470.5,1960.8,,,
0.60004,41.985,3000,602.63,2476.2,1959.5,,,
15.046,41.948,3000,602.87,2471.6,1959.8,,,
25.859,41.907,3000,597.6,2455.7,1964.9,,,
3.267,41.851,3000,601.18,2460.2,1962,,,
34.838,41.873,3000,601.12,2458.9,1962.4,,,
31.815,41.548,3000,598.15,2456.3,1963.2,,,
31.652,41.657,3000,596.67,2452.6,1964.9,,,
40.179,41.889,3000,600.58,2455,1963.3,,,
2.094,41.426,3000,600.96,2467.6,1959.4,,,
25.181,41.745,3000,600.57,2463,1961.5,,,
17.795,41.535,3000,600.71,2468,1959.9,,,
0.93351,41.42,3000,601.9,2475.5,1957.7,,,
0.48645,41.616,3000,599.84,2473.1,1960.1,,,
-0.52138,41.558,3000,600.53,2481.4,1958.5,,,
-10.306,41.552,3000,602.99,2489.9,1955.9,,,
-0.89845,41.978,3000,595.54,2472.2,1964.5,,,
-16.644,41.451,3000,603.18,2495.4,1954.8,,,
-21.284,41.36,2999.9,602.05,2497.1,1955,,,
-21.902,41.526,3000,597.04,2486.8,1960.1,,,
-25.614,41.719,3000.1,598.58,2492,1959.4,,,
-26.326,41.82,3000,603.72,2502.5,1955.4,,,
-36.067,41.87,3000,597.63,2497.9,1960.1,,,
-41.977,42.007,3000,597.79,2502.5,1960.2,,,
-52.331,41.681,3000,603.92,2525.1,1952.4,,,
-4.592,42.048,3000,601.75,2513.8,1956.6,,,
-58.176,41.772,3000,599.58,2520.9,1956.2,,,
-68.158,42.168,3000,599.45,2527.7,1957.5,,,
-74.065,41.806,3000,599.04,2533.4,1955.6,,,
-82.406,41.617,3000,598.46,2540.3,1954.6,,,
-84.245,41.872,3000,598.67,2541.4,1955.5,,,
-92.473,41.77,3000,599.11,2550,1954,,,
-96.255,41.706,3000,606.76,2569.6,1946.6,,,
-97.141,41.75,3000,600.18,2556.5,1952.6,,,
-10.405,41.505,3000,600.72,2564.8,1950.4,,,
-98.728,41.863,3000,601.15,2559.5,1952.2,,,
-10.945,41.916,3000,601.24,2569.2,1951.6,,,
-10.152,42.061,3000,595.12,2548.6,1958.3,,,
-12.216,41.953,3000,601.11,2580.5,1951.3,,,
-13.1,42.187,3000,600.49,2586.7,1952.8,,,
-13.734,42.302,3000,599.9,2591.1,1953.8,,,
-14.624,41.928,3000,601.75,2605.5,1950.9,,,
-14.701,42.122,3000,602.4,2606.9,1951.4,,,
-15.007,41.97,3000,596.25,2597.8,1955.9,,,
-15.728,42.124,3000,600.81,2614.4,1953.9,,,
-16.613,42.091,3000,600.91,2624.8,1955.7,,,
-17.03,41.98,3000,601.6,2631.6,1956.1,,,
-17.404,41.996,3000,602.14,2637.2,1957.3,,,
-17.497,42.372,3000,595.86,2624.3,1963.1,,,
-18.897,41.986,3000,599.97,2652.1,1966.4,,,
-19.455,42.248,3000,600.68,2660.2,1970.7,,,
-19.475,42.389,3000,601.79,2662.2,1970.9,,,
-20.094,42.009,3000,601.69,2671,1974.6,,,
-21.046,42.647,3000,597.18,2670.5,1984.8,,,
-21.584,42.238,3000,598.09,2677.2,1987.6,,,
-21.623,42.341,3000,600.62,2682.1,1987.6,,,
-21.568,42.432,3000,600.68,2681.6,1987.4,,,
-21.742,42.372,3000,599.67,2680.6,1988.7,,,
-22.632,42.244,3000,598.21,2677.7,1994.4,,,
-23.482,42.5,3000,601.63,2675.6,1998.2,,,
-24.629,42.421,3000,601.17,2651.9,2000.7,,,
-24.971,41.98,3000,600.64,2644.7,1999.9,,,
-25.3,41.883,3000,600.79,2636.3,1999.5,,,
-25.569,42.082,3000,601.08,2627.2,1999.6,,,
-26.008,42.145,3000,595.9,2599.7,2000.8,,,
-26.913,42.622,3000,598.87,2572.2,1997.6,,,
-27.981,42.372,3000,600.81,2541.4,1989.2,,,
-28.469,42.371,3000,598.19,2517.8,1986.4,,,
-29.122,42.419,3000,597.99,2494.2,1979.7,,,
-28.871,42.243,3000,604.37,2520.1,1977.8,,,
-29.795,42.402,3000,599.45,2474.9,1969.5,,,
