in1,in2,in3,in4,out1,out2,,
-35.139,42.35,4400,306.1,1726,1874.3,,
-35.039,42.146,4400,305.6,1728.9,1875.7,,
-35.166,42.345,4400,305.62,1724.4,1874.4,,
-35.184,42.414,4400,303.94,1720,1876.7,,
-33.306,42.458,4400,303.36,1769.3,1917.2,,
-34.936,42.462,4400,304.7,1728,1881.2,,
-33.84,42.565,4400,307.05,1761.8,1901.7,,
-33.709,42.241,4400,305.33,1763.7,1904.7,,
-33.298,42.194,4400,306.23,1777,1911.4,,
-32.38,42.333,4400,303.95,1796.5,1932.6,,
-32.053,42.309,4400,302.06,1801.6,1940.2,,
-31.387,42.389,4400,305.71,1827.2,1945.5,,
-30.844,42.244,4400,306.88,1845.6,1949.9,,
-30.112,42.352,4400,306.29,1864,1958.6,,
-29.735,42.283,4400,305.49,1873.3,1962.2,,
-29.417,42.361,4400,304.38,1879.3,1966,,
-29.187,42.448,4400,301.24,1878.5,1971.2,,
-28.133,42.151,4400,304.28,1916.6,1971.8,,
-27.19,42.451,4400,302.56,1937.7,1978.1,,
-27.035,42.253,4400,304.72,1948.1,1975.5,,
-26.381,42.43,4400,304.5,1965.2,1978.2,,
-25.859,42.088,4400,310.41,1995.4,1972.3,,
-25.343,42.258,4400,304.23,1995.6,1979.5,,
-24.607,42.433,4400,304.01,2015.4,1981.5,,
-24.696,42.303,4400,304.18,2014,1980.6,,
-23.797,42.303,4400,303.41,2038.5,1982.3,,
-23.581,42.337,4400,309.45,2058.2,1977.5,,
-22.947,42.489,4400,305.3,2066.5,1982.4,,
-22.943,42.248,4400,304.5,2066.4,1982,,
-21.49,42.488,4400,301.24,2100.7,1987,,
-20.939,42.21,4400,307.36,2133,1980.9,,
-20.281,42.359,4400,306.03,2148.9,1983.2,,
-20.264,42.277,4400,302.41,2141.6,1985.9,,
-19.545,42.187,4400.1,304.4,2168.7,1984.3,,
-19.06,42.08,4399.9,308.39,2193.5,1980.8,,
-18.41,42.234,4400,301.46,2196.3,1987.8,,
-17.95,42.022,4400.1,305.41,2221,1983.8,,
-17.251,42.637,4400,305.6,2238.6,1986.9,,
-16.807,41.945,4400,300.93,2245.7,1987.9,,
-16.367,42.06,4400,309.94,2279.1,1981.1,,
-16.414,42.027,4400,303.11,2262,1986.7,,
-15.582,42.202,4400,301.84,2281.6,1989.1,,
-14.785,42.258,4400,309.36,2319.1,1983.5,,
-14.168,42.237,4400,303.56,2319.7,1988.7,,
-13.556,42.054,4400,301.74,2327.3,1989.8,,
-12.969,42.344,4400,309,2348.1,1985.4,,
-13.185,42.172,4400,302.66,2333.6,1989.8,,
-12.308,42.2,4400.1,302.4,2338,1990.7,,
-11.453,42.51,4400,310.04,2347.2,1986.2,,
-11.579,42.142,4400,300.5,2331.6,1992.5,,
-10.446,42.252,4400,308.48,2328.2,1987,,
-97.521,42.225,4400,304.71,2306.6,1990.5,,
-91.871,42.302,4400,300.94,2287.1,1994.4,,
-86.727,42.224,4400,309.89,2288.5,1986.8,,
-82.293,42.211,4400,302.2,2265.6,1993.5,,
-78.172,42.253,4400.1,304.44,2259.7,1992,,
-72.057,42.074,4400,307.48,2251.7,1989,,
-6.638,42.18,4400,300.29,2228.5,1996,,
-65.677,42.423,4400,308.3,2240.6,1990.4,,
-60.014,42.112,4400,306.06,2227.4,1991.2,,
-49.112,42.253,4400,301.73,2203.3,1996.2,,
-4.725,42.099,4400,307.71,2211.9,1990.5,,
-40.468,42.176,4400,303.83,2196.2,1994.6,,
-37.137,42.066,4400.1,303.77,2192.6,1994.3,,
-2.93,41.741,4400,308.59,2194,1989.2,,
-25.521,42.155,4400,302.06,2176.8,1996.9,,
-16.664,42.182,4400,306.16,2175.8,1994.1,,
-12.001,42.473,4399.9,306.58,2171.3,1995.4,,
-0.98557,42.473,4400,301.26,2159.4,2000.1,,
-0.37655,42.192,4400,307.34,2166.3,1994,,
-0.034415,41.927,4400,306.79,2163.2,1993.4,,
0.54119,42.107,4400,300.35,2145.6,2000.1,,
13.691,41.888,4400,310.37,2158.1,1991.1,,
1.104,42.137,4400,303.04,2145.7,1998.3,,
14.072,41.839,4400.1,302.32,2142.9,1997.7,,
2.981,42.112,4400,309.36,2141.9,1994,,
30.187,42.13,4400,301.04,2125.9,2001.2,,
39.393,41.935,4400,307.64,2131,1995.2,,
43.638,42.072,4400,306.78,2125.2,1996.9,,
4.064,42.086,4400,301.02,2116.9,2001.6,,
36.482,41.996,4400,308.66,2135.3,1994.4,,
31.856,41.87,4400,304.49,2131.8,1997.1,,
25.512,41.967,4400,301.85,2131.9,1999.4,,
15.507,41.961,4400,308.06,2152,1993.5,,
11.705,42.005,4400,305.02,2149.4,1996,,
10.086,42.292,4400,301.25,2142.7,2000.5,,
0.5026,42.227,4400,309.3,2162.3,1993,,
0.011857,42.252,4400,302.74,2154.1,1998.4,,
-0.28048,42.127,4400.1,303.21,2158,1997.2,,
-11.916,42.172,4400,309.1,2177,1991.9,,
-17.504,42.177,4400,301.09,2167.2,1998.3,,
-19.195,42.234,4400,307.02,2179.6,1993.5,,
-24.592,42.338,4400,307.7,2185.8,1993.1,,
-27.465,42.219,4400,301.23,2177,1997.8,,
-38.488,42.012,4400,307.01,2200.2,1991.2,,
-4.611,42.035,4400,304.37,2204.5,1993.1,,
-50.318,42.123,4400.1,302.5,2206.6,1994.8,,
-55.315,42.192,4399.9,306.94,2221.5,1991.1,,
-6.209,42.146,4400,301.62,2223.1,1994.9,,
-67.481,41.856,4400,309.74,2247,1986.4,,
-65.623,42.131,4400,301.93,2230,1994.4,,
-7.224,42.029,4400.1,305.88,2249.5,1990.2,,
-82.716,42.209,4399.9,305.64,2272.1,1990.5,,
-89.606,42.246,4400,301.16,2281.8,1994.1,,
-91.949,42.148,4400,310,2301.3,1986,,
-98.677,42.094,4400,302.01,2305,1992.1,,
-10.315,41.924,4400,306.08,2321.2,1987.6,,
-10.738,42.123,4400,306.5,2330.5,1987.9,,
-11.315,42.185,4400,302.31,2332.2,1991.3,,
-11.833,42.246,4400,307.49,2346.1,1986.9,,
-12.527,42.117,4400,304.08,2341.2,1988.8,,
-13.274,42.005,4400,303.26,2334.5,1988.5,,
-13.339,42.22,4400,309.77,2346.5,1983.9,,
-14.11,42.258,4400,301.67,2316.5,1990.5,,
-14.511,42.196,4400.1,305.45,2316.9,1986.7,,
-15.157,42.155,4400,306.39,2303.7,1985.3,,
-15.636,42.179,4400,302.28,2281.3,1988.6,,
-16.532,42.106,4400,307.22,2267.6,1983.5,,
-17.336,42.108,4400,305.82,2240.2,1984.2,,
-17.597,42.484,4400,302.42,2221.6,1988.7,,
-17.997,42.233,4400,303.76,2214.3,1986.1,,
-18.933,42.185,4399.9,309.41,2199.1,1980.5,,
-19.035,42.221,4400,303.14,2181.1,1985.9,,
-19.556,42.169,4400,302.75,2164.7,1985.6,,
-19.922,42.277,4400,308.54,2166.2,1981,,
-20.565,42.277,4400,304.31,2136.9,1984.1,,
-21.373,42.227,4400,303.69,2111.5,1983.8,,
-21.868,42.225,4400,303.25,2095.7,1983.8,,
-21.807,42.239,4400,311.04,2115.1,1977.3,,
-23.241,42.145,4400,303.25,2055.5,1982.3,,
-22.802,42.164,4400,303.41,2068.7,1982.6,,
-23.542,42.183,4400,303.61,2047.2,1981.8,,
-24.572,42.273,4400,311.88,2034.9,1974,,
-24.693,42.314,4400,304.53,2014.8,1980.4,,
-25.672,42.32,4400,303.89,1985,1979.5,,
-25.89,42.365,4400,302.79,1976,1980.3,,
-26.668,42.21,4400,304.89,1959.2,1976.1,,
-27.231,42.319,4400,304.01,1940.5,1976,,
-27.693,42.037,4400.1,307.02,1935.7,1970.3,,
-27.515,42.45,4400,306.12,1936.2,1973.8,,
-27.985,42.369,4400,305.13,1921.2,1972.7,,
-28.706,42.115,4400,305.05,1902.3,1968.2,,
-30.191,42.366,4400,304.47,1857.9,1960,,
-30.192,42.367,4400,305.73,1860.5,1958.6,,
-31.18,42.609,4400,306.16,1832.5,1949,,
-31.624,42.225,4400,305.53,1821.2,1941.5,,
-32.023,42.395,4400,306.26,1810.8,1935.7,,
-32.261,42.414,4400,302.78,1796.8,1936.6,,
-32.955,42.13,4400,302.65,1779.3,1922.7,,
-32.855,42.359,4400,306.5,1788.7,1920.7,,
-33.639,42.492,4400,305.32,1764.1,1907.9,,
-34.358,42.554,4400,306.04,1745.7,1892.2,,
-34.892,42.556,4400,307.01,1733.3,1879.5,,
-34.678,42.262,4400,304.59,1735.9,1885.5,,
-35.031,42.354,4400,304.01,1724.6,1879.4,,
-34.715,42.395,4400,303.47,1731.8,1887.1,,
-35.137,42.421,4400,304.21,1721.8,1877.3,,
-35.299,42.17,4400,307.83,1726.4,1867.7,,
-35.021,42.283,4400,305.32,1728,1877.4,,
-34.903,42.427,4400,303.41,1726.4,1883.4,,
-35.014,42.15,4400,305.2,1728.7,1876.8,,
-35.196,42.461,4400,302.73,1717,1878.4,,
-34.843,42.492,4400,306.21,1733.4,1881.2,,
-34.832,42.487,4400,306.06,1733.4,1881.6,,
-33.276,42.464,4400,306.52,1776.6,1913.3,,
-33.373,42.507,4400,305.4,1771.4,1913.3,,
-32.858,42.495,4400,301.48,1777.3,1928.7,,
-32.45,42.412,4400,304.21,1794.7,1931.5,,
-31.936,40.566,4400,306.22,1824.2,1925.3,,
-32.353,40.431,4400,306.48,1814,1917,,
-30.539,40.429,4400,306.73,1864.9,1942.7,,
-30.461,40.422,4400,303.83,1860.9,1946.9,,
-29.931,40.49,4400,302.29,1872,1954.1,,
-29.219,40.101,4400,306.64,1903.7,1952.7,,
-28.286,40.069,4400,307.4,1932,1957.3,,
-28.167,40.28,4400,301.59,1921.4,1964.7,,
-27.921,39.76,4400,304.46,1937.9,1960.3,,
-27.275,39.642,4400,305.3,1958.9,1961.4,,
-27.191,39.857,4400,305.32,1960,1962.7,,
-26.768,39.89,4400,305.16,1971.6,1964.3,,
-26.595,39.624,4400,305.77,1979.6,1962.9,,
-25.143,39.371,4400,304.51,2020.5,1965.8,,
-24.501,39.225,4400,305.13,2041.6,1965.5,,
-23.598,38.869,4400,304.97,2070.1,1965,,
-23.206,38.71,4400,305.24,2083.4,1964.5,,
-22.548,38.765,4400,303.64,2099,1966.7,,
-21.876,38.607,4400,304.9,2123.1,1965.5,,
-21.642,38.24,4400,304.96,2132.7,1964,,
-20.9,38.01,4400,304.63,2156.1,1963.7,,
-20.753,37.899,4400,304.59,2161.2,1963.4,,
-20.722,37.809,4400,304.95,2163.6,1962.7,,
-19.276,37.565,4400,304.65,2209.1,1962.8,,
-19.71,38.048,4400,304.55,2192.2,1964.8,,
-18.972,37.47,4400,305.44,2221,1961.9,,
-18.799,37.536,4400,305.82,2226.8,1962,,
-17.559,37.458,4400,304.52,2262.4,1963.6,,
-16.974,37.092,4400,304.48,2282.3,1962.3,,
-16.471,37.033,4400,304.84,2297.9,1962,,
-16.156,37.074,4400,304.53,2305.6,1962.7,,
-15.986,36.769,4400,303.9,2310.5,1961.9,,
-14.455,36.721,4400,312.37,2361.3,1955.5,,
-14.158,36.549,4400,305.38,2350.9,1960.8,,
-13.66,36.299,4400,306.7,2358.4,1958.8,,
-13.175,36.331,4400,304.75,2355.5,1960.9,,
-12.32,36.113,4400,301.68,2345.2,1963,,
-12.021,35.958,4400,305.01,2347.4,1959.7,,
-11.259,35.76,4400,305.75,2335.8,1958.6,,
-11.589,35.443,4400,306.13,2342.5,1956.7,,
-10.717,35.321,4400,304.6,2322.7,1957.9,,
-97.502,35.613,4400,304.91,2302.6,1959.6,,
-91.597,35.245,4400,305.65,2291.7,1957.7,,
-9.587,35.103,4400,305.48,2300.2,1956.9,,
-88.625,34.966,4400,305.23,2285.4,1956.9,,
-79.923,35.428,4400,305.73,2270.1,1959.2,,
-74.506,34.684,4400,303.56,2258.9,1957.9,,
-69.862,34.414,4400,301.92,2249.7,1958.3,,
-69.907,34.745,4400,305.22,2255,1957,,
-65.883,34.593,4400,305.87,2251.1,1956,,
-51.481,34.175,4400,304.66,2233,1956,,
-4.206,34.149,4400,305.88,2225.7,1955.5,,
-3.735,34.155,4400,305.67,2220.7,1956,,
-37.204,33.912,4400,305.21,2220.5,1955.2,,
-34.138,33.919,4400,305.58,2218.3,1955.1,,
-24.657,33.51,4400,305.37,2210.7,1954,,
-16.279,33.403,4400,302.44,2198.2,1956.5,,
-10.776,33.371,4400,305.98,2200.3,1953.7,,
-11.384,33.065,4400,304.89,2199.8,1953.2,,
-0.95484,33.024,4400,306.57,2201.6,1951.7,,
-0.064041,33.007,4400,305.65,2192.3,1953,,
0.60975,32.627,4400,305.18,2186.9,1952,,
11.123,32.909,4400,305.14,2181.5,1953.7,,
18.714,32.673,4400,305.79,2176.8,1952.5,,
1.912,32.588,4400,303.2,2171.7,1954.3,,
30.165,32.315,4400,302.5,2160.4,1954.3,,
35.921,32.05,4400,305.23,2160.3,1951.2,,
37.993,32.026,4400,306.29,2160,1950.3,,
39.767,31.91,4400,306.81,2159.2,1949.4,,
28.371,32.475,4400,305.21,2167,1952.7,,
27.843,32.335,4400,301.35,2160.5,1955.2,,
23.537,32.472,4400,305.14,2171.6,1952.4,,
15.558,32.355,4400,306.85,2182.7,1949.9,,
0.85922,32.664,4400,305.99,2186.2,1951.7,,
0.33088,33.119,4400,305.89,2189,1953.5,,
-0.030352,33.053,4400,302.89,2186.6,1955.5,,
-0.46193,33.187,4400,302.42,2188.9,1956.2,,
-11.492,33.265,4400,306.15,2201.6,1953.1,,
