in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
20.009,-10.125,53.623,0.01432,270,79.875,0.50142,10.034,95963,556.15,624.66,217.08,517.98,14.145,6931.5,14.259,,,,,,,,
19.991,-10.125,53.674,0.00466,270,79.808,0.5018,10.048,93786,556.2,624.95,217.91,512.09,14.144,6798.6,14.391,,,,,,,,
19.995,-10.125,49.706,0.00288,270,79.638,0.50097,10.076,92524,558,626.54,217.92,497.24,14.141,6549.7,14.699,,,,,,,,
19.989,-10.125,49.343,0.00262,270,79.733,0.49739,10.011,1.10E+05,558.5,626.04,212.82,520.33,14.145,7180.9,14.198,,,,,,,,
19.995,-10.125,48.128,0.00755,270,79.796,0.49944,10.045,97948,558.48,626.31,215.38,508,14.144,6848.3,14.427,,,,,,,,
19.996,-10.125,49.096,-0.00295,270,79.752,0.49822,10.099,91328,559.03,627.21,218.22,489.14,14.135,6357.9,14.933,,,,,,,,
19.996,-10.125,49.227,0.00738,270,79.75,0.50052,10.058,94604,558,626.22,216.76,504.1,14.143,6719.2,14.524,,,,,,,,
19.998,-10.125,48.986,0.00617,270,79.695,0.49782,10.066,97926,558.97,626.99,216.03,497.98,14.141,6663.1,14.678,,,,,,,,
19.99,-10.125,36.786,0.0074,270,79.76,0.50012,0.99986,1.08E+05,561.35,627.63,209.98,522.34,14.147,7302.3,14.003,,,,,,,,
19.997,-10.125,53.517,0.01011,270,79.685,0.5003,10.032,1.01E+05,556.73,625.26,216.19,514.9,14.145,6956.7,14.331,,,,,,,,
19.988,-10.125,50.254,0.00792,270,79.765,0.49989,10.028,1.01E+05,557.64,625.65,215.09,515.68,14.145,6999,14.283,,,,,,,,
19.987,-10.125,49.691,-0.0033,270,79.721,0.49991,10.114,87441,558.5,627.04,219.88,486.99,14.133,6210.2,15.023,,,,,,,,
19.993,-10.125,49.064,-0.00043,270,79.721,0.49838,10.064,97029,558.75,626.79,216.18,499.49,14.141,6674.2,14.643,,,,,,,,
19.993,-10.125,49.019,0.00024,270,79.678,0.49897,10.048,99819,558.52,626.54,215.41,505,14.143,6818.3,14.504,,,,,,,,
19.996,-10.125,48.818,0.00804,270,79.691,0.49991,1.005,97820,558.32,626.41,215.89,505.11,14.143,6793.3,14.494,,,,,,,,
19.996,-10.125,48.952,-0.00081,270,79.708,0.49768,10.037,1.04E+05,558.78,626.56,214.29,508.54,14.144,6930.1,14.43,,,,,,,,
19.997,-10.125,34.501,-0.01031,270,79.8,0.50297,10.078,87873,562.23,628.39,215.08,494.4,14.142,6541.9,14.637,,,,,,,,
19.991,-10.125,54.291,0.00198,270,79.685,0.49936,10.031,1.03E+05,556.77,625.27,215.91,515.19,14.145,6975,14.345,,,,,,,,
19.991,-10.125,50.656,0.002,270,79.751,0.50064,10.067,92858,557.6,626.08,217.68,502.05,14.142,6635.4,14.596,,,,,,,,
19.997,-10.125,49.932,-0.00011,270,79.765,0.501,10.038,97656,557.5,625.66,215.95,512.52,14.145,6903.1,14.335,,,,,,,,
19.995,-10.125,49.282,-0.00916,270,79.786,0.50054,10.083,89834,558.13,626.48,218.26,496.57,14.139,6487.3,14.726,,,,,,,,
19.999,-10.125,4.921,-0.00948,270,79.779,0.50143,1.004,96421,557.59,625.71,216.03,511.91,14.145,6882.1,14.336,,,,,,,,
19.993,-10.125,49.184,-0.00504,270,79.766,0.50218,1.006,91712,557.55,625.91,217.52,505.04,14.143,6685.8,14.498,,,,,,,,
20.001,-10.125,48.703,-0.00843,270,79.656,0.50199,10.101,87139,558.18,626.78,219.49,491.01,14.137,6321.1,14.869,,,,,,,,
19.995,-10.125,46.194,-0.00489,270,79.677,0.49978,10.048,98791,559.15,626.87,214.94,504.37,14.144,6820.3,14.479,,,,,,,,
20,-10.125,53.007,0.00122,270,79.739,0.50166,1.007,90927,556.65,625.59,218.84,502.9,14.142,6597.2,14.596,,,,,,,,
19.991,-10.125,58.241,-0.00149,270,79.748,0.49907,10.052,97545,555.8,624.93,218.16,509.83,14.143,6771,14.521,,,,,,,,
19.995,-10.125,53.013,0.00732,270,79.712,0.5002,1.005,97108,556.97,625.6,217.07,508.22,14.144,6794,14.474,,,,,,,,
19.992,-10.125,50.461,0.00675,270,79.786,0.49816,10.063,96555,558.3,626.45,216.51,501.51,14.141,6687.3,14.617,,,,,,,,
19.974,-10.125,49.991,0.01414,269.79,79.742,0.49991,10.057,95760,557.81,626.06,216.92,505.17,14.143,6727.4,14.556,,,,,,,,
19.917,-10.331,49.681,0.00207,269.42,80.079,0.49876,10.068,90960,561.1,628.14,220.32,493.23,14.148,6603.4,14.763,,,,,,,,
19.849,-10.501,49.724,-0.003,269.04,80.294,0.49686,10.107,86921,564.2,630.44,224.64,473.08,14.145,6235.4,15.26,,,,,,,,
19.797,-10.5,49.155,-0.00548,268.52,80.401,0.49671,10.152,83002,564.15,630.41,227.83,466.09,14.132,5843.1,15.675,,,,,,,,
19.726,-10.859,48.703,0.0047,268.05,80.826,0.49628,10.094,84968,569.29,633.3,229.62,464.79,14.158,6297.5,15.367,,,,,,,,
19.669,-10.876,48.361,0.00258,267.57,80.945,0.49431,10.054,91469,569.6,632.81,227.24,481.27,14.164,6675.5,15.053,,,,,,,,
19.59,-11.234,47.875,0.00214,267.17,81.239,0.49275,10.096,89706,575.74,637.39,234.25,447.29,14.166,6244.4,15.728,,,,,,,,
19.534,-11.251,47.471,0.00268,266.75,81.437,0.48966,10.173,89943,576.71,638.22,238.61,426.43,14.139,5583.8,16.573,,,,,,,,
19.463,-11.456,47.339,0.00521,266.27,81.965,0.49324,10.131,83396,578.07,638.44,241.43,437.37,14.161,5891.1,16.102,,,,,,,,
19.397,-11.626,46.934,-0.00073,265.87,82.186,0.48942,10.128,90027,581.53,640.62,242.44,429.29,14.164,5919.5,16.278,,,,,,,,
19.342,-11.625,28.531,24.151,265.34,82.331,0.48504,10.071,1.08E+05,584.96,643.69,243.19,448.5,14.179,6479.9,16.034,,,,,,,,
19.28,-11.984,49.443,25.975,264.94,82.479,0.47737,10.159,1.22E+05,587.71,646.77,257.19,399.17,14.159,5642.5,17.363,,,,,,,,
19.203,-12.001,46.438,25.748,264.57,82.768,0.47845,10.174,1.18E+05,587.83,646.43,258.86,398.8,14.151,5509.9,17.467,,,,,,,,
19.136,-12.359,44.844,25.895,264.03,82.936,0.48005,10.136,1.23E+05,593,649.82,262.31,396.76,14.176,5772.1,17.339,,,,,,,,
19.08,-12.376,2.989,26.929,263.65,83.33,0.47687,10.183,1.29E+05,595.78,651.74,261.76,378.77,14.152,5386.9,17.958,,,,,,,,
19.013,-12.581,4.886,2.926,263.13,83.57,0.47855,10.213,1.27E+05,594.27,651.14,274.56,372.39,14.142,5076,18.262,,,,,,,,
18.949,-12.751,45.217,29.705,262.67,83.763,0.47571,10.247,1.38E+05,597.43,653.56,278.12,354.72,14.123,4784.5,18.881,,,,,,,,
18.884,-12.75,44.185,33.118,262.26,83.999,0.47684,10.225,1.36E+05,596.7,652.82,279.27,366.6,14.136,4959.5,18.614,,,,,,,,
18.823,-13.109,43.477,34.156,261.75,84.228,0.47112,10.259,1.57E+05,602.14,657.65,285.66,337.58,14.12,4648.2,19.495,,,,,,,,
18.747,-13.126,42.907,33.924,261.4,84.55,0.46845,10.256,1.59E+05,602.4,657.63,285.26,340.82,14.12,4683.3,19.551,,,,,,,,
18.684,-13.484,40.399,36.299,260.83,84.742,0.46969,10.241,1.73E+05,606.63,661.3,291.72,331.49,14.138,4737.3,19.673,,,,,,,,
18.631,-13.501,32.281,38.864,260.44,84.995,0.47032,10.238,1.75E+05,606.82,661.58,291.91,335.3,14.14,4761.9,19.679,,,,,,,,
18.572,-13.706,4.44,4.072,260.05,85.438,0.46328,10.331,1.90E+05,607.71,663.19,305.1,305.48,14.074,4043.1,21.011,,,,,,,,
18.503,-13.876,45.221,44.402,259.51,85.626,0.4634,10.303,1.97E+05,608.81,664.73,309.04,308.27,14.1,4215.7,20.863,,,,,,,,
18.441,-13.875,41.652,44.543,259.13,85.92,0.46336,10.272,1.96E+05,608.83,664.31,306.67,320.83,14.121,4452,20.524,,,,,,,,
