in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
13.267,513.06,1250.2,-79.182,15.935,10.005,8086.1,13.831,63.875,1072.8,"6,53E+09",559.82,481.11,2311.1,,,,,,,,
12.157,513.15,1249.9,-77.762,16.158,0.99895,8258,13.826,63.374,1101.9,"6,59E+09",555.3,475.8,2335.4,,,,,,,,
12.492,510.78,1250,-75.875,16.438,0.99874,8294.6,13.825,63.333,1080,"6,59E+09",556.32,476.94,2331.9,,,,,,,,
12.889,506.79,1250,-7.409,16.718,10.001,8183.2,13.824,63.107,1060.7,"6,47E+09",557.28,478.06,2323.7,,,,,,,,
13.35,503.52,1250.1,-72.291,16.993,0.9996,8247.6,13.822,63.058,1030.9,"6,49E+09",558.72,479.65,2319.8,,,,,,,,
13.608,499.67,1249.9,-70.582,17.252,0.99917,8317,13.82,62.844,1006.9,"6,51E+09",559.21,480.15,2320.3,,,,,,,,
13.166,496.68,1250,-68.834,17.526,10.001,8249.6,13.816,62.313,1016.4,"6,39E+09",556.93,477.54,2326.8,,,,,,,,
13.148,493,1250,-66.918,17.82,10.008,8211.6,13.812,6.194,1007.9,"6,32E+09",556.29,476.8,2327.7,,,,,,,,
13.31,488.86,1249.9,-65.202,18.097,10.001,8308.3,13.809,61.664,984.84,"6,36E+09",556.39,476.85,2330.9,,,,,,,,
13.538,485.13,1250,-63.383,18.363,10.016,8183.1,13.807,61.369,972.61,"6,23E+09",556.69,477.27,2324.7,,,,,,,,
13.352,480.97,1250,-6.158,18.638,10.009,8283,13.802,60.918,960.61,"6,27E+09",555.37,475.7,2333.8,,,,,,,,
13.63,477.16,1250,-59.806,18.907,10.001,8392.4,13.8,60.733,934.22,"6,35E+09",556,476.35,2335.2,,,,,,,,
13.522,475.09,1250,-57.958,19.19,10.006,8355.5,13.798,60.457,932.66,"6,30E+09",555.19,475.48,2336.5,,,,,,,,
13.248,470.13,1249.9,-56.233,19.454,10.003,8424.2,13.793,59.862,923.23,"6,32E+09",553.35,473.41,2346.8,,,,,,,,
12.771,464.06,1250,-54.405,19.727,10.015,8363,13.785,59.009,923.74,"6,22E+09",550.51,470.33,2356.4,,,,,,,,
13.441,461.36,1250,-52.674,19.999,10.008,8434.4,13.786,59.094,890.63,"6,31E+09",552.85,472.95,2349,,,,,,,,
13.681,457.35,1249.9,-50.825,20.274,10.008,8467.4,13.783,58.816,869.64,"6,34E+09",553.21,473.4,2348.6,,,,,,,,
13.038,452.26,1250,-49.089,20.546,10.009,8499,13.776,57.983,873.05,"6,34E+09",549.83,469.73,2363.6,,,,,,,,
13.467,447.8,1250,-47.291,20.821,10.006,8557.4,13.774,57.757,844.6,"6,42E+09",550.92,471,2361.2,,,,,,,,
13.737,447.06,1250,-45.554,21.091,0.99965,8657.5,13.775,57.843,829.73,"6,53E+09",551.9,472.01,2360.1,,,,,,,,
13.032,442.5,1250,-4.378,21.357,10.011,8561.1,13.768,56.958,841.12,"6,40E+09",548.27,468.27,2371.2,,,,,,,,
13.291,437.47,1249.9,-42.049,21.627,10.025,8455.9,13.763,56.504,823.94,"6,30E+09",548.46,468.8,2366.2,,,,,,,,
13.384,434.56,1250,-4.02,21.904,10.013,8589.1,13.762,56.277,807.02,"6,46E+09",548.42,468.73,2370.9,,,,,,,,
13.395,429.94,1250,-38.464,22.174,0.99981,8777,13.759,55.828,786.92,"6,69E+09",547.79,467.99,2380.3,,,,,,,,
13.905,427.19,1250,-36.666,22.451,10.012,8643.4,13.758,55.744,770.09,"6,57E+09",549.32,469.97,2368.3,,,,,,,,
13.593,422.91,1250,-34.873,22.721,0.99937,8871.8,13.754,5.515,759.03,"6,84E+09",547.41,467.79,2384.4,,,,,,,,
13.29,418.28,1249.9,-33.129,22.996,0.99968,8882.1,13.749,54.435,754.54,"6,86E+09",545.37,465.84,2392.8,,,,,,,,
13.16,414.07,1250,-31.302,23.264,0.99972,8913.1,13.745,53.863,745.63,"6,92E+09",544.1,464.69,2398.5,,,,,,,,
