in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,,
13.181,481.83,1500.2,-26.766,-0.75,0.99753,8960.1,13.707,74.736,1144.4,8.65E+05,602.1,527.71,2166.7,,,,,,,,,
12.62,480.68,1500,-26.813,-0.75,10.027,8389.6,13.724,74.065,1189,7.97E+05,599.28,524.57,2159.5,,,,,,,,,
13.512,476.6,1500,-26.874,-0.75,10.019,8487.8,13.721,7.418,1142.9,8.18E+05,602.63,528.38,2151.5,,,,,,,,,
14.597,473.19,1500,-26.938,-0.75,10.043,8234.7,13.729,74.386,1107.8,8.00E+05,606.6,533.1,2128.6,,,,,,,,,
15.035,470.12,1500,-26.985,-0.75,1.006,8071,13.731,74.249,1093.6,7.86E+05,607.97,534.71,2118.5,,,,,,,,,
14.848,465.63,1500,-27.045,-0.75,10.067,8039.9,13.727,73.582,1093.8,7.82E+05,606.66,533.05,2124,,,,,,,,,
15.832,459.34,1500,-27.109,-0.75,10.086,7864.7,13.727,73.403,1054.2,7.72E+05,609.87,536.76,2107.1,,,,,,,,,
16.964,456.99,1500,-27.17,-0.75,10.097,7758.1,13.729,73.826,1014.6,7.71E+05,614.22,541.85,2087.3,,,,,,,,,
17.065,454.72,1499.9,-27.219,-0.75,10.099,7748,13.727,73.614,1007.8,7.72E+05,614.35,541.95,2087.2,,,,,,,,,
17.31,447.05,1499.9,-27.282,-0.75,10.134,7462.5,13.719,72.733,997.79,7.40E+05,614.12,541.49,2078.6,,,,,,,,,
18.607,443.95,1500,-27.342,-0.75,10.154,7275,13.716,73.154,955.12,7.30E+05,618.95,546.97,2053.5,,,,,,,,,
18.643,438.85,1499.9,-27.399,-0.75,10.153,7313.2,13.711,72.563,943.18,7.39E+05,618.39,546.17,2058.2,,,,,,,,,
19.572,433.68,1500,-27.451,-0.75,1.017,7181.4,13.705,72.504,907.26,7.33E+05,621.34,549.31,2042.3,,,,,,,,,
20.063,431.09,1500,-27.514,-0.75,10.188,7030,13.699,72.457,891.98,7.18E+05,622.84,550.75,2030.6,,,,,,,,,
19.891,423.1,1499.9,-27.572,-0.75,10.205,6941.6,13.686,71.292,885.53,7.08E+05,620.69,547.68,2035.6,,,,,,,,,
21.48,418.63,1500,-27.626,-0.75,10.214,6855.2,13.681,71.794,827.28,7.16E+05,626.34,553.68,2010.1,,,,,,,,,
21.83,414.74,1500,-27.687,-0.75,10.201,6984.4,13.681,71.596,805.54,7.42E+05,627.17,554.53,2012.5,,,,,,,,,
22.86,402.41,1500,-27.75,-0.75,10.255,6604.2,13.656,70.571,756.66,7.04E+05,628.36,553.63,1989.2,,,,,,,,,
24.355,400,1499.9,-27.8,-0.75,10.255,6587.8,13.656,71.314,706.5,7.17E+05,633.81,559.3,1964.9,,,,,,,,,
23.397,391.16,1500,-27.857,-0.75,1.028,6466,13.637,69.414,718.81,6.98E+05,627.64,550.72,1983,,,,,,,,,
24.062,391.25,1499.9,-27.921,-0.75,10.269,6542.6,13.642,69.937,698.84,7.17E+05,630.41,554,1974.8,,,,,,,,,
25.376,384.75,1500,-27.982,-0.75,10.278,6488.9,13.636,7.001,647.16,7.27E+05,633.83,556.37,1954.1,,,,,,,,,
26.666,382.56,1500,-28.031,-0.75,1.031,6225.4,13.626,70.546,606.85,6.95E+05,637.88,559.57,1920.3,,,,,,,,,
26.754,378.5,1499.9,-28.093,-0.75,10.311,6244.4,13.622,70.078,596.4,7.03E+05,637.03,557.81,1922.8,,,,,,,,,
27.651,375.29,1500,-28.155,-0.75,10.298,6347.5,13.625,70.355,565.68,7.30E+05,639.74,560.19,1910.9,,,,,,,,,
28.34,366.45,1499.9,-28.216,-0.75,10.364,5873.7,13.59,69.472,529.82,6.66E+05,638.68,555.87,1884.7,,,,,,,,,
29.931,366.9,1500,-28.264,-0.75,1.036,5867.8,13.595,70.705,493.43,6.69E+05,645.17,562.53,1844.1,,,,,,,,,
29.977,358.09,1499.9,-28.326,-0.75,10.367,5866.5,13.583,69.553,475.21,6.81E+05,642.19,557.03,1852.2,,,,,,,,,
31.962,353.7,1500,-28.391,-0.75,10.354,5946.4,13.592,70.473,428.79,7.00E+05,648.88,562.14,1799.2,,,,,,,,,
32.474,353.9,1499.9,-28.438,-0.75,10.405,5544.1,13.565,7.069,421.35,6.34E+05,650.43,563.11,1764.4,,,,,,,,,
32.023,343.64,1500,-28.497,-0.75,10.382,5785.4,13.565,69.083,409.23,6.89E+05,644.99,554.95,1803.4,,,,,,,,,
33.699,333.98,1499.9,-28.56,-0.75,10.414,5552.7,13.545,6.891,368.25,6.61E+05,648.13,554.07,1744.9,,,,,,,,,
35.4,317.89,1500,-28.623,-0.75,10.434,5438.3,13.529,67.911,324.26,6.59E+05,649.52,549.28,1693.5,,,,,,,,,
36.248,308.91,1499.8,-28.671,-0.75,10.418,5573.8,13.54,67.345,304.66,6.92E+05,650.25,546.68,1675.6,,,,,,,,,
38.687,289.12,1500,-28.732,-0.75,10.434,5458.7,13.545,66.365,267.18,6.86E+05,655.14,544.01,1591.6,,,,,,,,,
39.597,285.38,1500,-28.795,-0.75,10.453,5293.2,13.545,66.473,262.47,6.55E+05,658.48,545.91,1543.8,,,,,,,,,
39.881,278.96,1499.9,-28.852,-0.75,10.456,5300.4,13.541,65.762,252.43,6.63E+05,657.67,543.33,1548.9,,,,,,,,,
41.023,261.07,1499.9,-28.904,-0.75,10.462,5304.2,13.539,64.024,226.42,6.78E+05,657.55,538.66,1544.5,,,,,,,,,
43.367,246.89,1499.9,-28.967,-0.75,10.491,5024.6,13.556,63.737,215.13,6.27E+05,665.63,545.17,1431,,,,,,,,,
45.042,238.91,1500.1,-29.029,-0.75,10.496,4880.6,13.584,6.394,213.82,6.04E+05,672.36,552.91,1327.6,,,,,,,,,
45.394,230,1499.9,-29.081,-0.75,10.488,4952.1,13.589,6.29,202.44,6.25E+05,671.24,550.51,1337.5,,,,,,,,,
47.887,210.43,1500,-29.138,-0.75,10.508,4662.2,13.614,62.006,188.77,5.86E+05,678.5,559.84,1194.4,,,,,,,,,
49.525,198.3,1499.9,-29.201,-0.75,1.051,4497.2,13.643,61.588,181.79,5.71E+05,683.45,566.8,1090,,,,,,,,,
50.155,199.73,1500,-29.253,-0.75,10.509,4388.8,13.662,62.434,188.38,5.56E+05,687.54,572.94,1023.5,,,,,,,,,
50.097,188.17,1499.9,-29.31,-0.75,10.525,4408.4,13.633,60.441,170.78,5.58E+05,682.97,566.02,1074.4,,,,,,,,,
52.256,167.47,1499.9,-29.373,-0.75,10.567,4030.2,13.63,59.019,153.89,5.00E+05,687.59,573.01,953.76,,,,,,,,,
54.795,153.35,1500,-29.435,-0.75,10.556,3747,13.69,59.268,148.21,4.81E+05,697.21,586.77,799.32,,,,,,,,,
56.299,136.6,1499.8,-29.483,-0.75,10.564,3576.8,13.703,57.937,133.2,4.66E+05,700.7,590.5,751.54,,,,,,,,,
58.184,124.91,1500,-29.545,-0.75,10.607,3228.1,13.694,5.788,124.96,4.02E+05,710.48,600.79,672.12,,,,,,,,,
59.457,108.04,1499.8,-29.607,-0.75,10.597,3153.1,13.719,56.285,109.8,4.08E+05,715.8,602.79,654.6,,,,,,,,,
60.98,107.3,1500.1,-29.654,-0.75,10.598,2954.9,13.751,58.008,112.24,3.80E+05,728.82,616.2,576.56,,,,,,,,,
60.155,101.49,1499.9,-29.656,-0.75,1.064,2972.4,13.685,5.582,104.71,3.63E+05,720.55,605.7,639.61,,,,,,,,,
61.646,81.055,1499.8,-29.656,-0.75,1.063,2887.3,13.711,53.797,87.913,3.69E+05,729.55,608.02,626.44,,,,,,,,,
63.133,73.933,1500,-29.656,-0.75,10.632,2727.7,13.736,54.289,84.989,3.49E+05,742.25,618.05,575.19,,,,,,,,,
63.155,73,1500.1,-29.656,-0.75,10.656,2671.5,13.709,54.106,84.334,3.28E+05,742.57,617.87,578.54,,,,,,,,,
62.936,65.787,1500,-29.656,-0.75,10.658,2716.9,13.698,52.441,77.218,3.39E+05,739.22,611.75,611.21,,,,,,,,,
63.193,56.423,1499.8,-29.656,-0.75,10.692,2633.2,13.66,50.922,69.906,3.15E+05,740.38,609.07,630.2,,,,,,,,,
64.043,44.531,1500.1,-29.656,-0.75,10.688,2584.8,13.673,49.716,62.387,3.16E+05,746.58,610.46,624.74,,,,,,,,,
64.638,59.282,1500.1,-29.435,-0.75,10.683,2491.7,13.701,53.348,76.105,2.95E+05,754.57,624.55,552.76,,,,,,,,,
63.979,66.952,1500,-28.915,-0.75,10.711,2475,13.661,53.946,78.76,2.73E+05,749.81,622.51,564.33,,,,,,,,,
65.351,54.179,1499.9,-28.413,-0.75,10.779,2220.6,13.607,53.264,71.081,2.13E+05,761.34,628.87,545.38,,,,,,,,,
66.485,58.462,1500,-27.915,-0.75,10.727,2224.2,13.685,55.895,79.082,2.29E+05,772.17,642.01,482.09,,,,,,,,,
66.931,61.167,1500.2,-27.4,-0.75,10.778,2076,13.639,57.206,82.922,1.85E+05,777.16,647.81,461.3,,,,,,,,,
67.235,63.088,1500,-26.881,-0.75,10.798,2007.2,13.623,58.174,85.136,1.65E+05,780.4,651.68,446.82,,,,,,,,,
67.782,62.037,1500,-26.377,-0.75,10.829,1905.9,13.599,59.002,86.273,1.41E+05,785.54,656.35,431.14,,,,,,,,,
68.548,60.659,1500,-25.866,-0.75,10.794,1919.1,13.648,60.185,89.541,1.52E+05,792.15,662.93,404.17,,,,,,,,,
69.233,62.059,1499.9,-25.368,-0.75,10.804,1845.7,13.65,61.935,96.021,1.37E+05,798.68,670.14,377.24,,,,,,,,,
69.818,59.362,1499.9,-24.847,-0.75,10.831,1760.9,13.629,62.737,96.66,1.17E+05,803.87,674.33,365.34,,,,,,,,,
70.409,59.429,1500,-24.325,-0.63641,10.809,1752.3,13.662,64.066,102.14,1.21E+05,809.13,679.99,343.79,,,,,,,,,
70.862,55.764,1500.1,-23.819,-0.38734,1.086,1644.1,13.613,64.472,100.82,93445,813.03,682.46,339.98,,,,,,,,,
71.262,57.118,1500.1,-23.293,-0.14489,10.876,1588.3,13.603,6.58,106.05,81698,816.83,686.84,324.94,,,,,,,,,
71.806,50.683,1500,-22.762,0.11327,10.898,1526.8,13.585,65.797,102.47,70397,821.07,688.91,322.54,,,,,,,,,
72.497,48.042,1499.9,-22.257,0.36342,10.909,1468.8,13.583,66.966,106.7,61616,827,694.22,306.68,,,,,,,,,
73.188,41.504,1499.9,-21.742,0.60202,1.093,1401,13.568,67.324,105.22,51075,832.61,697.71,299.81,,,,,,,,,
73.71,37.763,1500,-21.228,0.84772,1.094,1360.3,13.564,67.853,105.71,45345,836.95,700.9,291.92,,,,,,,,,
74.117,32.189,1499.9,-20.725,10.928,10.977,1287.2,13.529,67.756,101,33407,840.2,702.06,292.92,,,,,,,,,
74.809,26.482,1499.9,-20.226,13.374,10.994,1229.6,13.519,68.249,101.13,26682,845.96,706.01,284.15,,,,,,,,,
75.413,23.63,1500,-19.713,15.829,10.996,1197.6,13.525,69.149,104.73,23723,851.14,710.44,271.85,,,,,,,,,
76.059,20.523,1500,-19.23,18.321,11.011,1144.5,13.518,70.139,108.62,18196,856.73,715.13,259.7,,,,,,,,,
