in1,in2,in3,in4,in5,in6,in7,out1,out2,out3,out4,out5,out6
1141.159,7.9993,295.5,250.5,99.3299,39.21545898,5.388513929,5544.4,13.969,0.39626,3496.1,603.59,2257.9
1147.736,7.81528,295.5,250.5,99.327,40.89766075,5.6883851,5558.2,13.964,0.38985,3503.4,604.64,2231.2
1136.769,7.83387,295.5,250.5,99.306,41.45017931,5.914582821,5561.9,13.967,0.39999,3501.9,603.36,2210.2
1133.791,7.88243,295.5,250.5,99.2989,41.09042745,6.028533961,5557.2,13.969,0.40536,3496.6,603.1,2214.2
1128.849,7.89163,295.5,250.5,99.2854,41.12290631,6.206965247,5555.9,13.971,0.41105,3492.4,602.61,2207.7
1121.344,7.98759,295.5,250.5,99.2805,41.13346978,6.370932947,5558.8,13.974,0.42245,3482.8,601.82,2204.6
1113.883,8.5328,295.5,250.5,99.2637,41.2350607,6.558145413,5576.5,13.974,0.46019,3449.3,601.52,2234.0
1103.36,7.8766,295.5,250.5,99.2578,41.44969245,6.743594019,5563.2,13.982,0.4311,3469.1,599.6,2170.4
1092.488,7.87426,295.5,251.7768,99.2503,41.65568705,6.965548493,5571.8,13.988,0.43966,3454.7,598.48,2145.8
1081.636,7.92286,295.5,252.0057,99.2364,42.04419156,7.196485302,5584.0,13.992,0.45202,3432.6,597.28,2131.3
1070.895,8.01844,295.5,252.0001,99.2283,42.08314714,7.363343445,5596.3,13.997,0.46553,3403.9,596.07,2125.8
1061.679,8.31737,295.5,252.0,99.2181,42.26517169,7.569929178,5613.4,13.999,0.49157,3362.1,595.41,2132.3
1055.812,8.07057,295.5,252.0,99.2109,42.40882771,7.756083475,5611.6,14.003,0.48328,3362.1,594.43,2110.7
1050.365,8.26148,295.5,252.0,99.2039,42.36202515,7.923895572,5619.9,14.004,0.50022,3333.9,594.12,2116.4
1048.804,8.25381,295.5,252.0,99.1953,42.26759167,8.07703511,5617.3,14.005,0.5031,3329.2,594.05,2114.8
1045.597,8.17953,295.5,252.0,99.183,42.42322105,8.273769508,5616.2,14.006,0.50406,3324.2,593.68,2105.8
1045.206,8.05225,295.5,252.0,99.1705,42.32534809,8.444193809,5608.1,14.007,0.49952,3330.7,593.61,2098.6
1041.741,7.65454,295.5,252.0,99.1614,42.57483696,8.643997541,5599.4,14.01,0.48176,3346.4,592.75,2071.9
